"date_litter" "stage" "weight" "species" "confidence"
"1" "19/10/2009" 12.5 109 "mus" "yes"
"2" "19/10/2009" 12.5 110 "mus" "yes"
"3" "19/10/2009" 12.5 109 "mus" "yes"
"4" "19/10/2009" 12.5 110 "mus" "yes"
"5" "19/10/2009" 12.5 107 "mus" "yes"
"6" "19/10/2009" 12.5 100 "mus" "yes"
"7" "19/10/2009" 12.5 100 "mus" "yes"
"8" "19/10/2009" 12.5 105 "mus" "yes"
"9" "19/10/2009" 12.5 106 "mus" "yes"
"10" "19/10/2009" 12.5 86 "mus" "yes"
"11" "19/10/2009" 12.5 119 "mus" "yes"
"12" "19/10/2009" 12.5 93 "mus" "yes"
"13" "19/10/2009" 12.5 90 "mus" "yes"
"14" "19/10/2009" 12.5 92 "mus" "yes"
"15" "19/10/2009" 12.5 71 "mus" "yes"
"16" "10/02/2009" 12.5 104 "mus" "yes"
"17" "10/02/2009" 12.5 108 "mus" "yes"
"18" "10/02/2009" 12.5 101 "mus" "yes"
"19" "10/02/2009" 12.5 108 "mus" "yes"
"20" "10/02/2009" 12.5 104 "mus" "yes"
"21" "10/02/2009" 12.5 101 "mus" "yes"
"22" "10/02/2009" 12.5 105 "mus" "yes"
"23" "10/02/2009" 12.5 94 "mus" "yes"
"24" "10/02/2009" 12.5 95 "mus" "yes"
"25" "10/02/2009" 12.5 97 "mus" "yes"
"26" "10/02/2009" 12.5 92 "mus" "yes"
"27" "10/02/2009" 12.5 92 "mus" "yes"
"28" "10/02/2009" 12.5 89 "mus" "yes"
"29" "02/04/2008" 12.5 113 "mus" "yes"
"30" "02/04/2008" 12.5 116 "mus" "yes"
"31" "02/04/2008" 12.5 112 "mus" "yes"
"32" "02/04/2008" 12.5 114 "mus" "yes"
"33" "02/04/2008" 12.5 110 "mus" "yes"
"34" "02/04/2008" 12.5 109 "mus" "yes"
"35" "02/04/2008" 12.5 122 "mus" "yes"
"36" "02/04/2008" 12.5 126 "mus" "yes"
"37" "02/04/2008" 12.5 89 "mus" "yes"
"38" "02/04/2008" 12.5 86 "mus" "yes"
"39" "11/03/2008" 12.5 88 "mus" "yes"
"40" "11/03/2008" 12.5 80 "mus" "yes"
"41" "11/03/2008" 12.5 85 "mus" "yes"
"42" "11/03/2008" 12.5 80 "mus" "yes"
"43" "11/03/2008" 12.5 110 "mus" "yes"
"44" "11/03/2008" 12.5 103 "mus" "yes"
"45" "11/03/2008" 12.5 104 "mus" "yes"
"46" "11/03/2008" 12.5 103 "mus" "yes"
"47" "11/03/2008" 12.5 98 "mus" "yes"
"48" "11/03/2008" 12.5 97 "mus" "yes"
"49" "11/03/2008" 12.5 97 "mus" "yes"
"50" "11/03/2008" 12.5 98 "mus" "yes"
"51" "22/12/2009" 13 120 "mus" "yes"
"52" "22/12/2009" 13 126 "mus" "yes"
"53" "22/12/2009" 13 126 "mus" "yes"
"54" "22/12/2009" 13 125 "mus" "yes"
"55" "22/12/2009" 13 123 "mus" "yes"
"56" "22/12/2009" 13 108 "mus" "yes"
"57" "22/12/2009" 13 108 "mus" "yes"
"58" "22/12/2009" 13 130 "mus" "yes"
"59" "22/12/2009" 13 131 "mus" "yes"
"60" "22/12/2009" 13 115 "mus" "yes"
"61" "22/12/2009" 13 115 "mus" "yes"
"62" "28/10/2009" 13 128 "mus" "yes"
"63" "28/10/2009" 13 128 "mus" "yes"
"64" "28/10/2009" 13 128 "mus" "yes"
"65" "28/10/2009" 13 127 "mus" "yes"
"66" "28/10/2009" 13 129 "mus" "yes"
"67" "28/10/2009" 13 102 "mus" "yes"
"68" "28/10/2009" 13 135 "mus" "yes"
"69" "28/10/2009" 13 139 "mus" "yes"
"70" "28/10/2009" 13 131 "mus" "yes"
"71" "28/10/2009" 13 135 "mus" "yes"
"72" "28/10/2009" 13 134 "mus" "yes"
"73" "28/10/2009" 13 143 "mus" "yes"
"74" "28/10/2009" 13 144 "mus" "yes"
"75" "28/10/2009" 13 92 "mus" "yes"
"76" "20/10/2009" 13 130 "mus" "yes"
"77" "20/10/2009" 13 132 "mus" "yes"
"78" "20/10/2009" 13 123 "mus" "yes"
"79" "20/10/2009" 13 126 "mus" "yes"
"80" "20/10/2009" 13 125 "mus" "yes"
"81" "20/10/2009" 13 122 "mus" "yes"
"82" "20/10/2009" 13 121 "mus" "yes"
"83" "20/10/2009" 13 110 "mus" "yes"
"84" "20/10/2009" 13 110 "mus" "yes"
"85" "20/10/2009" 13 113 "mus" "yes"
"86" "20/10/2009" 13 117 "mus" "yes"
"87" "20/10/2009" 13 115 "mus" "yes"
"88" "30/09/2009" 13 126 "mus" "yes"
"89" "30/09/2009" 13 123 "mus" "yes"
"90" "30/09/2009" 13 122 "mus" "yes"
"91" "30/09/2009" 13 127 "mus" "yes"
"92" "30/09/2009" 13 114 "mus" "yes"
"93" "30/09/2009" 13 114 "mus" "yes"
"94" "30/09/2009" 13 115 "mus" "yes"
"95" "30/09/2009" 13 114 "mus" "yes"
"96" "30/09/2009" 13 136 "mus" "yes"
"97" "30/09/2009" 13 133 "mus" "yes"
"98" "30/09/2009" 13 107 "mus" "yes"
"99" "30/09/2009" 13 110 "mus" "yes"
"100" "30/09/2009" 13 104 "mus" "yes"
"101" "09/10/2012" 13.25 164 "mus" "yes"
"102" "09/10/2012" 13.25 156 "mus" "yes"
"103" "09/10/2012" 13.25 150 "mus" "yes"
"104" "09/10/2012" 13.25 155 "mus" "yes"
"105" "09/10/2012" 13.25 156 "mus" "yes"
"106" "09/10/2012" 13.25 150 "mus" "yes"
"107" "09/10/2012" 13.25 143 "mus" "yes"
"108" "09/10/2012" 13.25 148 "mus" "yes"
"109" "09/10/2012" 13.25 146 "mus" "yes"
"110" "09/10/2012" 13.25 148 "mus" "yes"
"111" "09/10/2012" 13.25 137 "mus" "yes"
"112" "04/02/2009" 13.25 142 "mus" "yes"
"113" "04/02/2009" 13.25 140 "mus" "yes"
"114" "04/02/2009" 13.25 144 "mus" "yes"
"115" "04/02/2009" 13.25 142 "mus" "yes"
"116" "04/02/2009" 13.25 144 "mus" "yes"
"117" "04/02/2009" 13.25 134 "mus" "yes"
"118" "04/02/2009" 13.25 135 "mus" "yes"
"119" "04/02/2009" 13.25 137 "mus" "yes"
"120" "04/02/2009" 13.25 134 "mus" "yes"
"121" "04/02/2009" 13.25 131 "mus" "yes"
"122" "04/02/2009" 13.25 137 "mus" "yes"
"123" "04/02/2009" 13.25 150 "mus" "yes"
"124" "04/02/2009" 13.25 121 "mus" "yes"
"125" "04/02/2009" 13.25 129 "mus" "yes"
"126" "04/02/2009" 13.25 129 "mus" "yes"
"127" "04/02/2009" 13.25 127 "mus" "yes"
"128" "26/09/2012" 13.25 152 "mus" "yes"
"129" "26/09/2012" 13.25 157 "mus" "yes"
"130" "26/09/2012" 13.25 151 "mus" "yes"
"131" "26/09/2012" 13.25 143 "mus" "yes"
"132" "26/09/2012" 13.25 130 "mus" "yes"
"133" "13/10/2011" 13.5 135 "mus" "yes"
"134" "13/10/2011" 13.5 134 "mus" "yes"
"135" "13/10/2011" 13.5 139 "mus" "yes"
"136" "13/10/2011" 13.5 178 "mus" "yes"
"137" "13/10/2011" 13.5 172 "mus" "yes"
"138" "13/10/2011" 13.5 176 "mus" "yes"
"139" "13/10/2011" 13.5 170 "mus" "yes"
"140" "13/10/2011" 13.5 178 "mus" "yes"
"141" "13/10/2011" 13.5 166 "mus" "yes"
"142" "13/10/2011" 13.5 162 "mus" "yes"
"143" "13/10/2011" 13.5 165 "mus" "yes"
"144" "13/10/2011" 13.5 119 "mus" "yes"
"145" "19/07/2011" 13.5 172 "mus" "yes"
"146" "19/07/2011" 13.5 177 "mus" "yes"
"147" "19/07/2011" 13.5 172 "mus" "yes"
"148" "19/07/2011" 13.5 175 "mus" "yes"
"149" "19/07/2011" 13.5 179 "mus" "yes"
"150" "19/07/2011" 13.5 180 "mus" "yes"
"151" "19/07/2011" 13.5 184 "mus" "yes"
"152" "19/07/2011" 13.5 186 "mus" "yes"
"153" "19/07/2011" 13.5 168 "mus" "yes"
"154" "19/07/2011" 13.5 165 "mus" "yes"
"155" "19/07/2011" 13.5 151 "mus" "yes"
"156" "19/07/2011" 13.5 163 "mus" "yes"
"157" "19/07/2011" 13.5 149 "mus" "yes"
"158" "19/07/2011" 13.5 142 "mus" "yes"
"159" "19/07/2011" 13.5 146 "mus" "yes"
"160" "15/10/2009" 13.5 180 "mus" "yes"
"161" "15/10/2009" 13.5 189 "mus" "yes"
"162" "15/10/2009" 13.5 186 "mus" "yes"
"163" "15/10/2009" 13.5 200 "mus" "yes"
"164" "15/10/2009" 13.5 201 "mus" "yes"
"165" "15/10/2009" 13.5 205 "mus" "yes"
"166" "15/10/2009" 13.5 195 "mus" "yes"
