".smooth" ".type" ".by" "weight_lambda" ".estimate" ".se" ".crit" ".lower_ci" ".upper_ci" "fit" "lower1" "upper1" "weight" "stage"
"1" "s(weight_lambda)" "CRS" NA 4.59941090484252 -0.500342816155117 0.0377474557791452 1.95996398454005 -0.57432646999026 -0.426359162319974 12.3050817121467 12.2310980583116 12.3790653659819 310 12.2
"2" "s(weight_lambda)" "CRS" NA 5.0207772478496 -0.167906131962295 0.0360906497017487 1.95996398454005 -0.238642505556373 -0.097169758368216 12.6375183963396 12.5667820227455 12.7082547699336 431 12.5
"3" "s(weight_lambda)" "CRS" NA 5.3099752178154 0.13951778568484 0.0395265917037864 1.95996398454005 0.0620470895137994 0.216988481855881 12.9449423139867 12.8674716178156 13.0224130101577 532 13
"4" "s(weight_lambda)" "CRS" NA 5.87088019340858 0.641574610757252 0.0401673059103539 1.95996398454005 0.562848137816955 0.720301083697548 13.4469991390591 13.3682726661188 13.5257256119994 776 13.25
"5" "s(weight_lambda)" "CRS" NA 6.2093083252206 0.847020020463485 0.0335871454725448 1.95996398454005 0.78119042499379 0.912849615933181 13.6524445487653 13.5866149532956 13.718274144235 958 13.5
"6" "s(weight_lambda)" "CRS" NA 6.36262538067104 0.980762295268263 0.036005043036808 1.95996398454005 0.910193707654305 1.05133088288222 13.7861868235701 13.7156182359562 13.8567554111841 1050 13.75
"7" "s(weight_lambda)" "CRS" NA 6.58536517686199 1.24367146249403 0.0406150389097857 1.95996398454005 1.16406744900016 1.3232754759879 14.0490959907959 13.969491977302 14.1287000042898 1195 14
"8" "s(weight_lambda)" "CRS" NA 7.19506744964493 1.81105377661447 0.0483909573110772 1.95996398454005 1.71620924310734 1.90589831012159 14.6164783049163 14.5216337714092 14.7113228384234 1667 14.5
"9" "s(weight_lambda)" "CRS" NA 4.25324878535145 -0.726146725432685 0.0334249739528358 1.95996398454005 -0.791658470564433 -0.660634980300938 12.0792778028692 12.0137660577374 12.1447895480009 231 11.8
"10" "s(weight_lambda)" "CRS" NA 4.28235887821552 -0.703380014963088 0.0329118467804946 1.95996398454005 -0.767886049317558 -0.638873980608618 12.1020445133388 12.0375384789843 12.1665505476932 237 12
"11" "s(weight_lambda)" "CRS" NA 4.82451276648951 -0.341724231607731 0.0323605895271277 1.95996398454005 -0.405149821599385 -0.278298641616076 12.4637002966941 12.4002747067025 12.5271258866858 371 12.5
"12" "s(weight_lambda)" "CRS" NA 5.35199413154723 0.184854914239017 0.0414898298716052 1.95996398454005 0.103536341965977 0.266173486512058 12.9902794425409 12.9089608702678 13.0715980148139 548 13
"13" "s(weight_lambda)" "CRS" NA 5.90482006148086 0.66393005468682 0.0402249885230049 1.95996398454005 0.585090525903193 0.742769583470446 13.4693545829887 13.390515054205 13.5481941117723 793 13.25
"14" "s(weight_lambda)" "CRS" NA 6.31210671973983 0.930490052915653 0.0358914870807258 1.95996398454005 0.860144030885846 1.00083607494546 13.7359145812175 13.6655685591877 13.8062606032473 1019 13.5
"15" "s(weight_lambda)" "CRS" NA 6.33831958552825 0.955864645092446 0.0360355782143596 1.95996398454005 0.885236209630225 1.02649308055467 13.7612891733943 13.6906607379321 13.8319176088565 1035 14
"16" "s(weight_lambda)" "CRS" NA 7.08123989623106 1.73005600368361 0.0497018860855325 1.95996398454005 1.63264209699226 1.82746991037497 14.5354805319855 14.4380666252941 14.6328944386768 1570 14.5
