"weight" "echantillon" "stade" "replicat" "fit_GAM" "lower1_GAM" "upper1_GAM" "species" "type"
"254" 413 "EpiMes" 12.5 "rep1" 12.5835322585243 12.5150550617973 12.6520094552514 "ham" "EpiMes"
"268" 427 "EpiMes" 12.5 "rep2" 12.62538817105 12.5549505603887 12.6958257817112 "ham" "EpiMes"
"619" 788 "EpiMes" 16 "rep1" 16.7253636673591 16.6726990103324 16.7780283243858 "mus" "EpiMes"
"181" 350 "EpiMes" 15 "rep1" 14.9876482824561 14.9463245370659 15.0289720278462 "mus" "EpiMes"
"201" 370 "EpiMes" 15 "rep2" 15.066335407262 15.0252273158374 15.1074434986866 "mus" "EpiMes"
"190" 359 "BL" 15 "rep1" 15.0236552445959 14.9826568299495 15.0646536592423 "mus" "BL"
"97" 282 "mus_AXR_MAOS" 14.5 "rep1" 14.6524793928443 14.6122074572676 14.6927513284209 "mus" "Whole"
"99" 371 "mus_AXR_MCOS" 15 "rep1" 15.0701590154084 15.0290070130634 15.1113110177535 "mus" "Whole"
"101" 453 "mus_AXR_MEOS" 15.5 "rep1" 15.3819421951689 15.3339888778406 15.4298955124971 "mus" "Whole"
"103" 590 "mus_AXR_MGOS" 16 "rep1" 15.9532378701933 15.9069051027534 15.9995706376333 "mus" "Whole"
"105" 750 "mus_AXR_MIOS" 16.5 "rep1" 16.5864073426791 16.5332672616682 16.63954742369 "mus" "Whole"
"107" 867 "mus_AXR_MLOS" 17 "rep1" 16.9985544623762 16.9422731004321 17.0548358243203 "mus" "Whole"
"109" 1028 "mus_AXR_MNOS" 17.5 "rep1" 17.4902417506593 17.4349724199157 17.5455110814028 "mus" "Whole"
"111" 1232 "mus_AXR_MQOS" 18 "rep1" 18.0202007675792 17.9618141157527 18.0785874194056 "mus" "Whole"
"113" 283 "mus_BGF_MAOS" 14.5 "rep2" 14.6584942212674 14.6182559841765 14.6987324583584 "mus" "Whole"
"115" 352 "mus_BGF_MCOS" 15 "rep2" 14.9957513708788 14.9545224538189 15.0369802879386 "mus" "Whole"
"117" 493 "mus_BGF_MEOS" 15.5 "rep2" 15.545810363553 15.5007918272627 15.5908288998433 "mus" "Whole"
"119" 592 "mus_BGF_MGOS" 16 "rep2" 15.9615498641643 15.9152846100143 16.0078151183143 "mus" "Whole"
"121" 716 "mus_BGF_MIOS" 16.5 "rep2" 16.4580696472981 16.4049637255466 16.5111755690496 "mus" "Whole"
"123" 924 "mus_BGF_MLOS" 17 "rep2" 17.1822867323679 17.1227299989068 17.241843465829 "mus" "Whole"
"125" 1118 "mus_BGF_MNOS" 17.5 "rep2" 17.7339893660995 17.6814966739147 17.7864820582844 "mus" "Whole"
"127" 1204 "mus_BGF_MQOS" 18 "rep2" 17.9518756255922 17.8952173230903 18.0085339280942 "mus" "Whole"
"65" 310 "ham_BCR_AOSW" 12.2 "rep1" 12.3050817121467 12.2310980583116 12.3790653659819 "ham" "Whole"
"67" 431 "ham_BCR_COSW" 12.5 "rep1" 12.6375183963396 12.5667820227455 12.7082547699336 "ham" "Whole"
"69" 532 "ham_BCR_EOSW" 13 "rep1" 12.9449423139867 12.8674716178156 13.0224130101577 "ham" "Whole"
"71" 776 "ham_BCR_GOSW" 13.25 "rep1" 13.4469991390591 13.3682726661188 13.5257256119994 "ham" "Whole"
"73" 958 "ham_BCR_IOSW" 13.5 "rep1" 13.6524445487653 13.5866149532956 13.718274144235 "ham" "Whole"
"75" 1050 "ham_BCR_LOSW" 13.75 "rep1" 13.7861868235701 13.7156182359562 13.8567554111841 "ham" "Whole"
"77" 1195 "ham_BCR_NOSW" 14 "rep1" 14.0490959907959 13.969491977302 14.1287000042898 "ham" "Whole"
"79" 1667 "ham_BCR_QOSW" 14.5 "rep1" 14.6164783049163 14.5216337714092 14.7113228384234 "ham" "Whole"
"81" 231 "ham_BGE_AAOSW" 11.8 "rep2" 12.0792778028692 12.0137660577374 12.1447895480009 "ham" "Whole"
"82" 237 "ham_BGE_AOSW" 12 "rep2" 12.1020445133388 12.0375384789843 12.1665505476932 "ham" "Whole"
"85" 371 "ham_BGE_COSW" 12.5 "rep2" 12.4637002966941 12.4002747067025 12.5271258866858 "ham" "Whole"
"87" 548 "ham_BGE_EOSW" 13 "rep2" 12.9902794425409 12.9089608702678 13.0715980148139 "ham" "Whole"
"89" 793 "ham_BGE_GOSW" 13.25 "rep2" 13.4693545829887 13.390515054205 13.5481941117723 "ham" "Whole"
"91" 1019 "ham_BGE_IOSW" 13.5 "rep2" 13.7359145812175 13.6655685591877 13.8062606032473 "ham" "Whole"
"93" 1035 "ham_BGE_NOSW" 14 "rep2" 13.7612891733943 13.6906607379321 13.8319176088565 "ham" "Whole"
"95" 1570 "ham_BGE_QOSW" 14.5 "rep2" 14.5354805319855 14.4380666252941 14.6328944386768 "ham" "Whole"
