times	value	jaw	species
ham_BCR_AOSW	0	1432.09589302774	md	ham
ham_BCR_BOSW	0	1638.71172093281	mx	ham
ham_BCR_COSW	1.46389986334491	1526.50027217826	md	ham
ham_BCR_DOSW	1.46389986334491	1635.81143373903	mx	ham
ham_BCR_EOSW	2.81765488627557	1495.96484026361	md	ham
ham_BCR_FOSW	2.81765488627557	1915.21619452827	mx	ham
ham_BCR_GOSW	5.02848465495537	1214.20160374478	md	ham
ham_BCR_HOSW	5.02848465495537	1575.74548100371	mx	ham
ham_BCR_IOSW	5.93317273991783	1009.22791080992	md	ham
ham_BCR_KOSW	5.93317273991783	1263.82816804543	mx	ham
ham_BCR_LOSW	6.52211285128225	945.979195623417	md	ham
ham_BCR_MOSW	6.52211285128225	1092.99384151747	mx	ham
ham_BCR_NOSW	7.67984517227558	850.048569210476	md	ham
ham_BCR_POSW	7.67984517227558	1025.9662313189	mx	ham
ham_BCR_QOSW	10.1783386647182	774.748862093794	md	ham
ham_BCR_ROSW	10.1783386647182	757.280136316756	mx	ham
ham_BGE_AOSW	-0.894083420156937	1506.86919362221	md	ham
ham_BGE_BOSW	-0.894083420156937	2124.81140073357	mx	ham
ham_BGE_COSW	0.698484058119665	1427.01795406029	md	ham
ham_BGE_DOSW	0.698484058119665	1736.91064499822	mx	ham
ham_BGE_EOSW	3.01729896724116	1422.6309272142	md	ham
ham_BGE_FOSW	3.01729896724116	1544.65797617952	mx	ham
ham_BGE_GOSW	5.12692785593064	1144.02450154633	md	ham
ham_BGE_HOSW	5.12692785593064	1448.53202732193	mx	ham
ham_BGE_IOSW	6.30073677514707	952.646306566358	md	ham
ham_BGE_KOSW	6.30073677514707	1091.1464328702	mx	ham
ham_BGE_NOSW	6.41247493097134	906.383955037551	md	ham
ham_BGE_POSW	6.41247493097134	1053.23847528921	mx	ham
ham_BGE_QOSW	9.82166133528177	697.781983405247	md	ham
ham_BGE_ROSW	9.82166133528177	803.552090894417	mx	ham
mus_AXR_MAOSW	-0.00902977873575201	3084.90302108383	md	mus
mus_AXR_MBOSW	-0.00902977873575201	2451.02138699637	mx	mus
mus_AXR_MCOSW	1.24505572757754	3052.73710222169	md	mus
mus_AXR_MDOSW	1.24505572757754	2668.95100342323	mx	mus
mus_AXR_MEOSW	2.18118654585779	3443.43693475961	md	mus
mus_AXR_MFOSW	2.18118654585779	2871.44297996574	mx	mus
mus_AXR_MGOSW	3.89650514691696	2998.75773021248	md	mus
mus_AXR_MHOSW	3.89650514691696	2290.41276666553	mx	mus
mus_AXR_MIOSW	5.7976001862437	2749.37368313395	md	mus
mus_AXR_MKOSW	5.7976001862437	2520.96152558125	mx	mus
mus_AXR_MLOSW	7.03507432038484	1923.73467092416	md	mus
mus_AXR_MMOSW	7.03507432038484	2448.76818638798	mx	mus
mus_AXR_MNOSW	8.51136827528012	1706.63149148453	md	mus
mus_AXR_MPOSW	8.51136827528012	1946.09889182185	mx	mus
mus_AXR_MQOSW	10.1025733189432	1590.97904939017	md	mus
mus_AXR_MROSW	10.1025733189432	1890.47094200103	mx	mus
mus_BGF_MAOSW	0.00902977873574668	2525.55252226562	md	mus
mus_BGF_MBOSW	0.00902977873574668	2107.6829610099	mx	mus
mus_BGF_MCOSW	1.02164634028055	2573.73699110194	md	mus
mus_BGF_MDOSW	1.02164634028055	2241.96926035126	mx	mus
mus_BGF_MEOSW	2.67320167854497	3043.96812821871	md	mus
mus_BGF_MFOSW	2.67320167854497	2765.99141482703	mx	mus
mus_BGF_MGOSW	3.92146195736321	3000.8270688138	md	mus
mus_BGF_MHOSW	3.92146195736321	2156.6077349488	mx	mus
mus_BGF_MIOSW	5.41226550627314	2212.67846052455	md	mus
mus_BGF_MKOSW	5.41226550627314	1849.70893926406	mx	mus
mus_BGF_MLOSW	7.58673153417019	1914.58312990844	md	mus
mus_BGF_MMOSW	7.58673153417019	2159.23634961972	mx	mus
mus_BGF_MNOSW	9.24322191430956	1347.89253142048	md	mus
mus_BGF_MPOSW	9.24322191430956	1768.34622696711	mx	mus
mus_BGF_MQOSW	9.89742668105678	1109.26046212231	md	mus
mus_BGF_MROSW	9.89742668105678	1428.48035884159	mx	mus
