times	value	jaw	species
ham_BCR_AOSW	0	3407.97312514718	md	ham
ham_BCR_BOSW	0	4127.12581568262	mx	ham
ham_BCR_COSW	1.46389986334491	3414.73944260223	md	ham
ham_BCR_DOSW	1.46389986334491	4030.95995889335	mx	ham
ham_BCR_EOSW	2.81765488627557	1973.04337105281	md	ham
ham_BCR_FOSW	2.81765488627557	2457.88196431166	mx	ham
ham_BCR_GOSW	5.02848465495537	2109.54161739485	md	ham
ham_BCR_HOSW	5.02848465495537	2169.03463910559	mx	ham
ham_BCR_IOSW	5.93317273991783	3106.47906664274	md	ham
ham_BCR_KOSW	5.93317273991783	2745.06552572856	mx	ham
ham_BCR_LOSW	6.52211285128225	3278.01928950711	md	ham
ham_BCR_MOSW	6.52211285128225	2732.91661716976	mx	ham
ham_BCR_NOSW	7.67984517227558	2467.50209673596	md	ham
ham_BCR_POSW	7.67984517227558	2271.20759835105	mx	ham
ham_BCR_QOSW	10.1783386647182	2327.33733972059	md	ham
ham_BCR_ROSW	10.1783386647182	3876.37455916597	mx	ham
ham_BGE_AOSW	-0.894083420156937	4155.27595639448	md	ham
ham_BGE_BOSW	-0.894083420156937	5664.91732883652	mx	ham
ham_BGE_COSW	0.698484058119665	2800.94608045189	md	ham
ham_BGE_DOSW	0.698484058119665	3520.61306383799	mx	ham
ham_BGE_EOSW	3.01729896724116	2325.63342533292	md	ham
ham_BGE_FOSW	3.01729896724116	3335.84914613563	mx	ham
ham_BGE_GOSW	5.12692785593064	2713.94692389395	md	ham
ham_BGE_HOSW	5.12692785593064	3019.57183773943	mx	ham
ham_BGE_IOSW	6.30073677514707	2869.14652330574	md	ham
ham_BGE_KOSW	6.30073677514707	2436.44187960768	mx	ham
ham_BGE_NOSW	6.41247493097134	1724.01781447767	md	ham
ham_BGE_POSW	6.41247493097134	2228.9061550432	mx	ham
ham_BGE_QOSW	9.82166133528177	2380.83593519307	md	ham
ham_BGE_ROSW	9.82166133528177	2755.42355492511	mx	ham
mus_AXR_MAOSW	-0.00902977873575201	5574.43596699526	md	mus
mus_AXR_MBOSW	-0.00902977873575201	7521.3703170863	mx	mus
mus_AXR_MCOSW	1.24505572757754	5260.85477956052	md	mus
mus_AXR_MDOSW	1.24505572757754	8825.92773161819	mx	mus
mus_AXR_MEOSW	2.18118654585779	3961.58671360814	md	mus
mus_AXR_MFOSW	2.18118654585779	6670.11213001634	mx	mus
mus_AXR_MGOSW	3.89650514691696	2830.93638119744	md	mus
mus_AXR_MHOSW	3.89650514691696	6470.22690951385	mx	mus
mus_AXR_MIOSW	5.7976001862437	3736.72314022021	md	mus
mus_AXR_MKOSW	5.7976001862437	3790.72536795694	mx	mus
mus_AXR_MLOSW	7.03507432038484	3358.76076493918	md	mus
mus_AXR_MMOSW	7.03507432038484	2567.07850196251	mx	mus
mus_AXR_MNOSW	8.51136827528012	3945.82883846779	md	mus
mus_AXR_MPOSW	8.51136827528012	3577.50945220016	mx	mus
mus_AXR_MQOSW	10.1025733189432	4121.39334699169	md	mus
mus_AXR_MROSW	10.1025733189432	2412.24870972119	mx	mus
mus_BGF_MAOSW	0.00902977873574668	5191.85095672297	md	mus
mus_BGF_MBOSW	0.00902977873574668	6949.0433433057	mx	mus
mus_BGF_MCOSW	1.02164634028055	3695.93511044496	md	mus
mus_BGF_MDOSW	1.02164634028055	4908.18306778499	mx	mus
mus_BGF_MEOSW	2.67320167854497	4311.27271322571	md	mus
mus_BGF_MFOSW	2.67320167854497	8975.91331674262	mx	mus
mus_BGF_MGOSW	3.92146195736321	2837.23711119046	md	mus
mus_BGF_MHOSW	3.92146195736321	3606.75657010211	mx	mus
mus_BGF_MIOSW	5.41226550627314	2664.62980565297	md	mus
mus_BGF_MKOSW	5.41226550627314	3450.05838228556	mx	mus
mus_BGF_MLOSW	7.58673153417019	4162.02505194382	md	mus
mus_BGF_MMOSW	7.58673153417019	3689.96810345786	mx	mus
mus_BGF_MNOSW	9.24322191430956	3670.90461761228	md	mus
mus_BGF_MPOSW	9.24322191430956	1833.79944364908	mx	mus
mus_BGF_MQOSW	9.89742668105678	3248.71707683269	md	mus
mus_BGF_MROSW	9.89742668105678	2299.20873977054	mx	mus
