times	value	jaw	species
ham_BCR_AOSW	0	1204.82850130812	md	ham
ham_BCR_BOSW	0	1244.85271787173	mx	ham
ham_BCR_COSW	1.46389986334491	570.070200900317	md	ham
ham_BCR_DOSW	1.46389986334491	681.245590809659	mx	ham
ham_BCR_EOSW	2.81765488627557	1154.33825414572	md	ham
ham_BCR_FOSW	2.81765488627557	1061.18481913146	mx	ham
ham_BCR_GOSW	5.02848465495537	955.612631289926	md	ham
ham_BCR_HOSW	5.02848465495537	1084.51731955279	mx	ham
ham_BCR_IOSW	5.93317273991783	1126.88121805942	md	ham
ham_BCR_KOSW	5.93317273991783	1217.71106721319	mx	ham
ham_BCR_LOSW	6.52211285128225	1027.51218963873	md	ham
ham_BCR_MOSW	6.52211285128225	1122.37075109185	mx	ham
ham_BCR_NOSW	7.67984517227558	1703.31701936493	md	ham
ham_BCR_POSW	7.67984517227558	1507.76802034022	mx	ham
ham_BCR_QOSW	10.1783386647182	2071.83505541306	md	ham
ham_BCR_ROSW	10.1783386647182	2001.9187762037	mx	ham
ham_BGE_AOSW	-0.894083420156937	480.178422409179	md	ham
ham_BGE_BOSW	-0.894083420156937	205.65706474324	mx	ham
ham_BGE_COSW	0.698484058119665	524.490883692462	md	ham
ham_BGE_DOSW	0.698484058119665	574.602982774196	mx	ham
ham_BGE_EOSW	3.01729896724116	784.520445881956	md	ham
ham_BGE_FOSW	3.01729896724116	804.208280388457	mx	ham
ham_BGE_GOSW	5.12692785593064	1502.62686343313	md	ham
ham_BGE_HOSW	5.12692785593064	1697.46784257211	mx	ham
ham_BGE_IOSW	6.30073677514707	1239.37416550349	md	ham
ham_BGE_KOSW	6.30073677514707	1448.64937904351	mx	ham
ham_BGE_NOSW	6.41247493097134	1398.28608063605	md	ham
ham_BGE_POSW	6.41247493097134	1285.07250076507	mx	ham
ham_BGE_QOSW	9.82166133528177	1759.21023919904	md	ham
ham_BGE_ROSW	9.82166133528177	1853.23725467541	mx	ham
mus_AXR_MAOSW	-0.00902977873575201	532.699540943722	md	mus
mus_AXR_MBOSW	-0.00902977873575201	932.234696945575	mx	mus
mus_AXR_MCOSW	1.24505572757754	610.163065757248	md	mus
mus_AXR_MDOSW	1.24505572757754	702.774063098779	mx	mus
mus_AXR_MEOSW	2.18118654585779	489.310273532284	md	mus
mus_AXR_MFOSW	2.18118654585779	651.812456198263	mx	mus
mus_AXR_MGOSW	3.89650514691696	797.151407821436	md	mus
mus_AXR_MHOSW	3.89650514691696	768.515090655588	mx	mus
mus_AXR_MIOSW	5.7976001862437	743.880243984089	md	mus
mus_AXR_MKOSW	5.7976001862437	1214.06536486526	mx	mus
mus_AXR_MLOSW	7.03507432038484	1144.46663101631	md	mus
mus_AXR_MMOSW	7.03507432038484	1276.7300241856	mx	mus
mus_AXR_MNOSW	8.51136827528012	1183.14346306818	md	mus
mus_AXR_MPOSW	8.51136827528012	1659.01479997862	mx	mus
mus_AXR_MQOSW	10.1025733189432	1063.32661396217	md	mus
mus_AXR_MROSW	10.1025733189432	1667.5472315385	mx	mus
mus_BGF_MAOSW	0.00902977873574668	642.706857770635	md	mus
mus_BGF_MBOSW	0.00902977873574668	871.680458126251	mx	mus
mus_BGF_MCOSW	1.02164634028055	660.899287676327	md	mus
mus_BGF_MDOSW	1.02164634028055	857.191546412804	mx	mus
mus_BGF_MEOSW	2.67320167854497	402.125493319526	md	mus
mus_BGF_MFOSW	2.67320167854497	472.620381805179	mx	mus
mus_BGF_MGOSW	3.92146195736321	570.467544532676	md	mus
mus_BGF_MHOSW	3.92146195736321	1162.5390854342	mx	mus
mus_BGF_MIOSW	5.41226550627314	587.301357341358	md	mus
mus_BGF_MKOSW	5.41226550627314	1199.96940680105	mx	mus
mus_BGF_MLOSW	7.58673153417019	839.887882459835	md	mus
mus_BGF_MMOSW	7.58673153417019	1110.1623233899	mx	mus
mus_BGF_MNOSW	9.24322191430956	1004.66863218862	md	mus
mus_BGF_MPOSW	9.24322191430956	1589.73660178411	mx	mus
mus_BGF_MQOSW	9.89742668105678	934.610942554119	md	mus
mus_BGF_MROSW	9.89742668105678	1429.41461676104	mx	mus
