times	value	jaw	species
ham_BCR_AOSW	0	1222.47026230919	md	ham
ham_BCR_BOSW	0	1260.34880979544	mx	ham
ham_BCR_COSW	1.46389986334491	1361.7291509878	md	ham
ham_BCR_DOSW	1.46389986334491	1475.51835354852	mx	ham
ham_BCR_EOSW	2.81765488627557	1904.71805382923	md	ham
ham_BCR_FOSW	2.81765488627557	2100.76467787341	mx	ham
ham_BCR_GOSW	5.02848465495537	2869.75431085235	md	ham
ham_BCR_HOSW	5.02848465495537	2823.36962698001	mx	ham
ham_BCR_IOSW	5.93317273991783	3554.42514470276	md	ham
ham_BCR_KOSW	5.93317273991783	3681.68188310714	mx	ham
ham_BCR_LOSW	6.52211285128225	3400.80994314462	md	ham
ham_BCR_MOSW	6.52211285128225	3487.21197182964	mx	ham
ham_BCR_NOSW	7.67984517227558	3799.45951389531	md	ham
ham_BCR_POSW	7.67984517227558	3891.63073428707	mx	ham
ham_BCR_QOSW	10.1783386647182	3317.40869141226	md	ham
ham_BCR_ROSW	10.1783386647182	3221.56467231782	mx	ham
ham_BGE_AOSW	-0.894083420156937	1197.97090951568	md	ham
ham_BGE_BOSW	-0.894083420156937	953.500936536841	mx	ham
ham_BGE_COSW	0.698484058119665	1282.39394075591	md	ham
ham_BGE_DOSW	0.698484058119665	1265.24956467543	mx	ham
ham_BGE_EOSW	3.01729896724116	2175.83825929073	md	ham
ham_BGE_FOSW	3.01729896724116	1887.25410408285	mx	ham
ham_BGE_GOSW	5.12692785593064	3076.23671366648	md	ham
ham_BGE_HOSW	5.12692785593064	3266.54752846008	mx	ham
ham_BGE_IOSW	6.30073677514707	3506.11199495109	md	ham
ham_BGE_KOSW	6.30073677514707	3824.09549532304	mx	ham
ham_BGE_NOSW	6.41247493097134	3854.96425876908	md	ham
ham_BGE_POSW	6.41247493097134	3639.88102919404	mx	ham
ham_BGE_QOSW	9.82166133528177	3056.7229859676	md	ham
ham_BGE_ROSW	9.82166133528177	3415.09638630127	mx	ham
mus_AXR_MAOSW	-0.00902977873575201	2748.85929444387	md	mus
mus_AXR_MBOSW	-0.00902977873575201	2177.90181632366	mx	mus
mus_AXR_MCOSW	1.24505572757754	3238.18823874319	md	mus
mus_AXR_MDOSW	1.24505572757754	2753.44293463029	mx	mus
mus_AXR_MEOSW	2.18118654585779	4356.68793644069	md	mus
mus_AXR_MFOSW	2.18118654585779	5192.05853215831	mx	mus
mus_AXR_MGOSW	3.89650514691696	5176.23973368261	md	mus
mus_AXR_MHOSW	3.89650514691696	7623.53999211514	mx	mus
mus_AXR_MIOSW	5.7976001862437	6911.44619960379	md	mus
mus_AXR_MKOSW	5.7976001862437	7093.88725161959	mx	mus
mus_AXR_MLOSW	7.03507432038484	6782.38648644994	md	mus
mus_AXR_MMOSW	7.03507432038484	7418.65259386778	mx	mus
mus_AXR_MNOSW	8.51136827528012	6883.01022333952	md	mus
mus_AXR_MPOSW	8.51136827528012	9175.649243143	mx	mus
mus_AXR_MQOSW	10.1025733189432	7273.93838771608	md	mus
mus_AXR_MROSW	10.1025733189432	9173.94343842313	mx	mus
mus_BGF_MAOSW	0.00902977873574668	2519.64709937645	md	mus
mus_BGF_MBOSW	0.00902977873574668	2066.45483123366	mx	mus
mus_BGF_MCOSW	1.02164634028055	3865.59549805315	md	mus
mus_BGF_MDOSW	1.02164634028055	3053.47293246287	mx	mus
mus_BGF_MEOSW	2.67320167854497	4055.37467202237	md	mus
mus_BGF_MFOSW	2.67320167854497	4182.88407585362	mx	mus
mus_BGF_MGOSW	3.92146195736321	4764.24291970745	md	mus
mus_BGF_MHOSW	3.92146195736321	7575.58496104802	mx	mus
mus_BGF_MIOSW	5.41226550627314	5443.42440421599	md	mus
mus_BGF_MKOSW	5.41226550627314	6811.1434231888	mx	mus
mus_BGF_MLOSW	7.58673153417019	6111.44224149345	md	mus
mus_BGF_MMOSW	7.58673153417019	6544.67122074618	mx	mus
mus_BGF_MNOSW	9.24322191430956	6118.93203133885	md	mus
mus_BGF_MPOSW	9.24322191430956	8249.32405503602	mx	mus
mus_BGF_MQOSW	9.89742668105678	5837.77819799902	md	mus
mus_BGF_MROSW	9.89742668105678	8204.6530486245	mx	mus
