times	value	jaw	species
ham_BCR_AOSW	0	388.11874202346	md	ham
ham_BCR_BOSW	0	603.056244031222	mx	ham
ham_BCR_COSW	1.46389986334491	343.746649380092	md	ham
ham_BCR_DOSW	1.46389986334491	362.714469918265	mx	ham
ham_BCR_EOSW	2.81765488627557	719.213865511351	md	ham
ham_BCR_FOSW	2.81765488627557	523.602569439713	mx	ham
ham_BCR_GOSW	5.02848465495537	712.577882742132	md	ham
ham_BCR_HOSW	5.02848465495537	636.212007160698	mx	ham
ham_BCR_IOSW	5.93317273991783	903.447873099365	md	ham
ham_BCR_KOSW	5.93317273991783	824.617683928858	mx	ham
ham_BCR_LOSW	6.52211285128225	885.07503141921	md	ham
ham_BCR_MOSW	6.52211285128225	770.711862951447	mx	ham
ham_BCR_NOSW	7.67984517227558	1641.06598778133	md	ham
ham_BCR_POSW	7.67984517227558	1450.43461329593	mx	ham
ham_BCR_QOSW	10.1783386647182	1900.81336511044	md	ham
ham_BCR_ROSW	10.1783386647182	1933.60527655796	mx	ham
ham_BGE_AOSW	-0.894083420156937	526.711176745738	md	ham
ham_BGE_BOSW	-0.894083420156937	545.926026409328	mx	ham
ham_BGE_COSW	0.698484058119665	283.755975470616	md	ham
ham_BGE_DOSW	0.698484058119665	597.998869694969	mx	ham
ham_BGE_EOSW	3.01729896724116	520.474729468611	md	ham
ham_BGE_FOSW	3.01729896724116	354.497730361508	mx	ham
ham_BGE_GOSW	5.12692785593064	590.910318687508	md	ham
ham_BGE_HOSW	5.12692785593064	630.180036243574	mx	ham
ham_BGE_IOSW	6.30073677514707	1054.44870599355	md	ham
ham_BGE_KOSW	6.30073677514707	1018.29038222824	mx	ham
ham_BGE_NOSW	6.41247493097134	1301.98278541332	md	ham
ham_BGE_POSW	6.41247493097134	922.99464075221	mx	ham
ham_BGE_QOSW	9.82166133528177	1458.39290392475	md	ham
ham_BGE_ROSW	9.82166133528177	1589.9110627269	mx	ham
mus_AXR_MAOSW	-0.00902977873575201	349.010044066577	md	mus
mus_AXR_MBOSW	-0.00902977873575201	484.762042411699	mx	mus
mus_AXR_MCOSW	1.24505572757754	424.711929235753	md	mus
mus_AXR_MDOSW	1.24505572757754	275.344293463029	mx	mus
mus_AXR_MEOSW	2.18118654585779	381.642787018304	md	mus
mus_AXR_MFOSW	2.18118654585779	286.634272600488	mx	mus
mus_AXR_MGOSW	3.89650514691696	418.504489106254	md	mus
mus_AXR_MHOSW	3.89650514691696	169.700238020995	mx	mus
mus_AXR_MIOSW	5.7976001862437	470.578834810116	md	mus
mus_AXR_MKOSW	5.7976001862437	609.454355367864	mx	mus
mus_AXR_MLOSW	7.03507432038484	819.253287109504	md	mus
mus_AXR_MMOSW	7.03507432038484	670.708839372167	mx	mus
mus_AXR_MNOSW	8.51136827528012	1058.07117882227	md	mus
mus_AXR_MPOSW	8.51136827528012	932.103157170464	mx	mus
mus_AXR_MQOSW	10.1025733189432	1159.5875312362	md	mus
mus_AXR_MROSW	10.1025733189432	1205.15088887604	mx	mus
mus_BGF_MAOSW	0.00902977873574668	540.346194358466	md	mus
mus_BGF_MBOSW	0.00902977873574668	525.027611844383	mx	mus
mus_BGF_MCOSW	1.02164634028055	487.912225801315	md	mus
mus_BGF_MDOSW	1.02164634028055	366.590800940501	mx	mus
mus_BGF_MEOSW	2.67320167854497	303.421963141097	md	mus
mus_BGF_MFOSW	2.67320167854497	169.484768065382	mx	mus
mus_BGF_MGOSW	3.92146195736321	378.354209682702	md	mus
mus_BGF_MHOSW	3.92146195736321	407.679839407671	mx	mus
mus_BGF_MIOSW	5.41226550627314	320.132202799297	md	mus
mus_BGF_MKOSW	5.41226550627314	461.256532955722	mx	mus
mus_BGF_MLOSW	7.58673153417019	568.956307472791	md	mus
mus_BGF_MMOSW	7.58673153417019	509.852326297585	mx	mus
mus_BGF_MNOSW	9.24322191430956	875.107292743484	md	mus
mus_BGF_MPOSW	9.24322191430956	1016.18892340142	mx	mus
mus_BGF_MQOSW	9.89742668105678	843.745989805802	md	mus
mus_BGF_MROSW	9.89742668105678	1017.40687428286	mx	mus
