times	value	jaw	species
ham_BCR_AOSW	0	197.172622953095	md	ham
ham_BCR_BOSW	0	316.378543442504	mx	ham
ham_BCR_COSW	1.46389986334491	98.4838885276296	md	ham
ham_BCR_DOSW	1.46389986334491	117.137250908448	mx	ham
ham_BCR_EOSW	2.81765488627557	121.067667361077	md	ham
ham_BCR_FOSW	2.81765488627557	116.920962107897	mx	ham
ham_BCR_GOSW	5.02848465495537	291.641698257353	md	ham
ham_BCR_HOSW	5.02848465495537	307.136831043095	mx	ham
ham_BCR_IOSW	5.93317273991783	376.706460826378	md	ham
ham_BCR_KOSW	5.93317273991783	374.426937709375	mx	ham
ham_BCR_LOSW	6.52211285128225	559.925380587069	md	ham
ham_BCR_MOSW	6.52211285128225	614.323020805469	mx	ham
ham_BCR_NOSW	7.67984517227558	488.348609836826	md	ham
ham_BCR_POSW	7.67984517227558	469.731598064632	mx	ham
ham_BCR_QOSW	10.1783386647182	509.974317468654	md	ham
ham_BCR_ROSW	10.1783386647182	610.656039516152	mx	ham
ham_BGE_AOSW	-0.894083420156937	213.852658227593	md	ham
ham_BGE_BOSW	-0.894083420156937	191.63499214711	mx	ham
ham_BGE_COSW	0.698484058119665	239.819566365489	md	ham
ham_BGE_DOSW	0.698484058119665	259.22642708217	mx	ham
ham_BGE_EOSW	3.01729896724116	169.260074623939	md	ham
ham_BGE_FOSW	3.01729896724116	178.524036872702	mx	ham
ham_BGE_GOSW	5.12692785593064	524.536616744449	md	ham
ham_BGE_HOSW	5.12692785593064	476.310260675547	mx	ham
ham_BGE_IOSW	6.30073677514707	438.964474594302	md	ham
ham_BGE_KOSW	6.30073677514707	354.961456034637	mx	ham
ham_BGE_NOSW	6.41247493097134	282.30083599607	md	ham
ham_BGE_POSW	6.41247493097134	461.931466491228	mx	ham
ham_BGE_QOSW	9.82166133528177	649.232350180599	md	ham
ham_BGE_ROSW	9.82166133528177	552.894512991542	mx	ham
mus_AXR_MAOSW	-0.00902977873575201	160.998441380557	md	mus
mus_AXR_MBOSW	-0.00902977873575201	179.392190331149	mx	mus
mus_AXR_MCOSW	1.24505572757754	172.959609191031	md	mus
mus_AXR_MDOSW	1.24505572757754	218.684998418291	mx	mus
mus_AXR_MEOSW	2.18118654585779	369.145668047932	md	mus
mus_AXR_MFOSW	2.18118654585779	328.456355079563	mx	mus
mus_AXR_MGOSW	3.89650514691696	330.398280873358	md	mus
mus_AXR_MHOSW	3.89650514691696	512.343393770392	mx	mus
mus_AXR_MIOSW	5.7976001862437	313.719223206744	md	mus
mus_AXR_MKOSW	5.7976001862437	363.250940285482	mx	mus
mus_AXR_MLOSW	7.03507432038484	398.963910967644	md	mus
mus_AXR_MMOSW	7.03507432038484	370.251707013823	mx	mus
mus_AXR_MNOSW	8.51136827528012	529.539913137932	md	mus
mus_AXR_MPOSW	8.51136827528012	496.876312805578	mx	mus
mus_AXR_MQOSW	10.1025733189432	491.108939055454	md	mus
mus_AXR_MROSW	10.1025733189432	410.802645481172	mx	mus
mus_BGF_MAOSW	0.00902977873574668	140.745912191732	md	mus
mus_BGF_MBOSW	0.00902977873574668	294.486641258868	mx	mus
mus_BGF_MCOSW	1.02164634028055	218.451610188316	md	mus
mus_BGF_MDOSW	1.02164634028055	228.43937150595	mx	mus
mus_BGF_MEOSW	2.67320167854497	335.104577766272	md	mus
mus_BGF_MFOSW	2.67320167854497	412.574349690587	mx	mus
mus_BGF_MGOSW	3.92146195736321	417.783584084225	md	mus
mus_BGF_MHOSW	3.92146195736321	438.395443746605	mx	mus
mus_BGF_MIOSW	5.41226550627314	356.617858265394	md	mus
mus_BGF_MKOSW	5.41226550627314	365.258980411637	mx	mus
mus_BGF_MLOSW	7.58673153417019	597.339615328577	md	mus
mus_BGF_MMOSW	7.58673153417019	505.15322651604	mx	mus
mus_BGF_MNOSW	9.24322191430956	609.165595987672	md	mus
mus_BGF_MPOSW	9.24322191430956	384.953664214295	mx	mus
mus_BGF_MQOSW	9.89742668105678	772.942130521399	md	mus
mus_BGF_MROSW	9.89742668105678	540.935335362513	mx	mus
