ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	FoldEnrichment
R-MMU-1474244	R-MMU-1474244	Extracellular matrix organization	124/2468	197/6542	3.06734648808584e-13	2.00911194969622e-10	1.7403155337666e-10	Col19a1/Tnr/Ctsl/Jam3/Bmp1/Col7a1/Mmp13/Adam19/Bmp4/Fn1/Col4a6/Loxl3/App/Nid1/Col8a1/Mmp17/Icam4/Megf11/Tll2/Col14a1/Tgfb1/Mmp16/P3h2/Col26a1/Mmp9/Dmp1/Col5a3/Htra1/Icam1/Adam12/Col13a1/P4ha2/Sdc1/Itga2/Mmp12/Col27a1/Itgax/Prkca/Hapln1/Scube3/Timp1/Emilin2/Adamts5/Vwf/Fbn2/Cd47/Tgfb2/Col24a1/Ctrb1/Mmp2/Sdc3/Gdf5/Ltbp1/Mmp3/Mmp20/Elane/Emilin1/Cma1/Pecam1/Jam2/Col25a1/Col6a6/Capn15/Matn4/Emilin3/Capn2/Col9a3/Itgb5/Col12a1/Acan/Pcolce2/Col17a1/Capn8/Itgb6/Itga9/Fgf2/Adam10/Lum/Mfap4/Ltbp3/Bmp2/Bmp7/Efemp2/Itgb3/Ltbp2/Adamts3/Itga8/A2m/Ibsp/Itga4/Col9a1/Capn5/Eln/Itgb4/Sdc2/Spp1/Col6a5/Matn1/Loxl2/Ctsk/P3h3/Capn7/Tnxb/Tnc/Serpinh1/Loxl4/Fbn1/Col2a1/Mfap5/Colgalt2/Col28a1/Mmp19/Col4a2/Itgb7/Ltbp4/Col11a2/Col4a1/Col20a1/P3h1/Fbln5/Klk7/Col22a1/Col6a2/Itga2b	124	1.66847937868678
R-MMU-1266738	R-MMU-1266738	Developmental Biology	160/2468	311/6542	3.18614184441202e-07	0.000104346145404494	9.03858133756883e-05	Foxo1/Vldlr/Ank1/Ctnna2/Ctnnb1/Cdh4/Krt19/Tubb3/Artn/Boc/Pik3r3/Dscam/Lgi3/Ret/Cebpa/Gfra2/Dpysl3/Ntn4/Cdc42/Tubb4b/Dok4/Efna1/Mmp9/Nrp1/Col5a3/Crmp1/Msn/Smad2/Cdsn/Lipm/Pik3cb/Ezr/Dnm1/Csnk2a2/Fyn/Nfasc/Pik3r1/Vav3/Spink5/Prkca/Dab1/Kif4/Gab1/Rap1gap/Cacng4/Cltc/Vav2/Grin2b/Dsc2/Pkp2/Shc3/Mmp2/Ephb2/Gfra1/Cdk4/Tuba4a/Slit2/Rasa1/Map2k1/Hdac3/Arhgef11/Col6a6/Mapk3/Gap43/Adam23/Dsp/Ephb3/Col9a3/Krt20/Cacng3/Mapk7/Unc5a/Pkp1/Ncor2/Dsc3/Krt35/Farp2/Foxo3/Limk1/Itga9/Rps6ka5/Efnb3/Cdh2/Adgrg6/Ephb6/Dnm3/Tcf4/Sptbn1/Dpysl5/Krt17/Itgb3/Krt75/Jup/Krt23/Krt80/Krt28/Krt5/Ephb1/Pfn2/Col9a1/Sema6d/Mapk13/Numb/Kras/Cxcr4/Sh3kbp1/Rac1/Sptbn4/Git1/Tubb4a/Krt76/Fgfr1/Sdc2/Sema4d/Reln/Tubb2a/Col6a5/Dsg2/Krt4/Cdh15/Cxcl12/Krt79/Prkcq/Cdk2/Nck1/Efnb1/Plxna3/Pkp4/Grin1/Dlg4/Pik3ca/Ncstn/Col2a1/Shc1/Slit3/Lgi2/Col4a2/Ptprc/Pkp3/Dok2/Irs2/Adam11/Lgi1/Epha8/Cdk5r1/Lgi4/Kalrn/Col4a1/Arhgef28/Plxnc1/Gfra4/Krt10/Dok1/Mapk12/Col6a2/Ptpra/Klk14/Rras/Itga2b/Mapk11	160	1.36371927228004
R-MMU-9006934	R-MMU-9006934	Signaling by Receptor Tyrosine Kinases	165/2468	325/6542	6.27692818985018e-07	0.000137046265478395	0.000118711027871202	Prkce/Ptprk/Pgf/Ptpn3/Ctnnb1/Mknk1/Ntrk3/Fn1/Atp6v0d2/Rps6ka2/Pik3r3/Atp6v0a1/Megf11/Grap/Fgfbp3/Wasf3/Cdc42/Atp6v1d/Mapkapk3/Mapkapk2/Mmp9/Nrp1/Col5a3/Flt1/Pik3cb/Ntrk1/Hgf/Itga2/Fyn/Pik3r1/Vav3/Sh3gl3/Jak2/Col27a1/Stat3/Prkca/Ntf5/Fgf23/Wwp1/Flrt3/Thbs4/Ptn/Gab1/Sgk1/Ppp2ca/Alk/Cltc/Spint2/Ptpn1/Vav2/Sphk1/Irs4/Col24a1/Jak3/Shc3/Pdgfb/Fgf20/Rasa1/Map2k1/Cma1/Fgfr4/Ptprj/Hdac3/Kidins220/Col6a6/Fgf1/Fgf10/Mapk3/Flt3l/Fgfr2/Atp6v1c2/Rapgef1/Col9a3/Pdgfd/Mapk7/Ptprz1/Wasf1/Pxn/Kit/Lck/Vegfb/Rps6ka5/Tcirg1/Pcsk6/Fgf2/Ntrk2/Vrk3/Pdgfc/Itgb3/Atp6v1a/Jup/Plat/Kdr/Vegfd/Ptpru/Fgf8/Cdh5/Spry1/Crkl/Abi2/Axl/Nos3/Col9a1/Mapk13/Kras/Mst1r/Sh3kbp1/Rac1/Polr2b/Tgfa/Tgfbr3/Fgfr1/Fgfrl1/Spp1/Dusp4/Atp6v1c1/Atp6v1b2/Fgf16/Fgf15/Shb/Col6a5/Atp6v1b1/Ralgds/Ptk2b/Gtf2f2/Pdgfra/Polr2l/Fgf9/Cilp/Nck1/Hspb1/Igf2/Rab4a/Pik3ca/Ncstn/Col2a1/Shc1/Ncf4/Col4a2/Thbs3/Irs2/Cyba/Dusp7/Igf1/Elmo1/Egr2/Vav1/Spint1/Spred1/Ptk6/Fgfbp1/Col11a2/Col4a1/Bdnf/Prkcd/Ncbp2/Pik3r4/Ntf3/Mapk12/Col6a2/Ppp2r1b/Vegfc/Atp6v0a4/Bcar1/Mapk11	165	1.34575489340481
R-MMU-109582	R-MMU-109582	Hemostasis	192/2468	389/6542	9.56006561033475e-07	0.000144988149684119	0.000125590377950567	Serpinb2/Mmrn1/Prkce/Ppp2r5a/Epcam/Dock10/Timp3/Klc4/Pik3cg/Pde10a/Jam3/Gnai1/Carmil1/Alb/Clu/Cd84/Prkch/Kif11/Kif18a/Tubb3/Fn1/Pde9a/App/Rasgrp1/Proc/Pik3r3/Kif2c/Cd48/Plau/Tgfb1/F13a1/Prkar1a/Abcc4/Cdc42/Tubb4b/Vcl/F5/Atp2a3/Mgll/Grb14/P2ry12/Pik3cb/Atp2b4/Hgf/Mertk/Sdc1/Dgkq/Kif21b/Fyn/Pik3r1/Vav3/Dgkz/Gnb5/Jak2/Itgax/Wdr1/Prkca/Timp1/Dock5/Atp2b1/Spn/Kif4/Gnb3/Ppp2ca/Vwf/F3/Pafah2/Sri/Kif23/Cd47/Atp2b3/Ptpn1/P2rx1/Vav2/Tgfb2/Kif22/Adra2c/Dgki/Endod1/Sdc3/Tuba4a/Pdgfb/Gng4/Aldoa/Ptgir/Atp2a1/Gnb4/Pecam1/Jam2/Prkar2b/Adra2a/Pla2g4a/P2rx2/Serpind1/Lat/Stxbp3/Mapk3/Slc8a3/Gas6/Angpt4/Cd177/Pdpn/Ehd3/Aplp2/Kif5a/Serping1/Tmsb4x/Lck/Ehd1/Vegfb/Slc8a1/Apool/Ppp2r5b/Dgkb/Lgals3bp/Rasgrp2/Apbb1ip/Cd9/Trpc6/Kif12/Kif20a/H3f3b/Angpt2/Islr/Cyb5r1/Raf1/Itgb3/F2rl2/Procr/Cd74/Plat/Vegfd/Gata3/Ecm1/Ctsw/Lamp2/Kif3b/Gna15/Rac2/Kif3c/A2m/Itih3/Gng10/Itpr1/Itga4/Nos3/Sell/Kras/Kif16b/Clec1b/Dgkh/Rac1/P2ry1/Kif21a/Klc3/Tubb4a/Apoa1/Sdc2/Tubb2a/Tek/Kif15/Prcp/Cd109/Syk/Gngt2/Pde1b/Prkcq/Cd63/Zfpm2/Igf2/Pik3ca/Shc1/Itpr3/Chid1/Ly6g6f/Pik3r5/Dock6/Dok2/Rad51c/Daglb/Kif26a/Igf1/Vav1/Rapgef4/Prkcd/Kif18b/Arrb1/Gp6/Ppp2r1b/Vegfc/Itga2b/Bcar1	192	1.30832913217201
R-MMU-2129379	R-MMU-2129379	Molecules associated with elastic fibres	25/2468	31/6542	1.22415595809842e-06	0.000144988149684119	0.000125590377950567	Bmp4/Fn1/Tgfb1/Emilin2/Fbn2/Tgfb2/Gdf5/Ltbp1/Emilin1/Emilin3/Itgb5/Itgb6/Mfap4/Ltbp3/Bmp2/Bmp7/Efemp2/Itgb3/Ltbp2/Itga8/Eln/Fbn1/Mfap5/Ltbp4/Fbln5	25	2.1376849479793
R-MMU-9675108	R-MMU-9675108	Nervous system development	110/2468	204/6542	1.32813572229728e-06	0.000144988149684119	0.000125590377950567	Vldlr/Ank1/Tubb3/Artn/Pik3r3/Dscam/Ret/Gfra2/Dpysl3/Ntn4/Cdc42/Tubb4b/Dok4/Efna1/Mmp9/Nrp1/Col5a3/Crmp1/Msn/Pik3cb/Ezr/Dnm1/Csnk2a2/Fyn/Nfasc/Pik3r1/Vav3/Prkca/Dab1/Kif4/Gab1/Rap1gap/Cltc/Vav2/Grin2b/Shc3/Mmp2/Ephb2/Gfra1/Tuba4a/Slit2/Rasa1/Map2k1/Arhgef11/Col6a6/Mapk3/Gap43/Ephb3/Col9a3/Mapk7/Unc5a/Farp2/Limk1/Itga9/Rps6ka5/Efnb3/Adgrg6/Ephb6/Dnm3/Sptbn1/Dpysl5/Itgb3/Ephb1/Pfn2/Col9a1/Sema6d/Mapk13/Numb/Kras/Cxcr4/Sh3kbp1/Rac1/Sptbn4/Git1/Tubb4a/Fgfr1/Sdc2/Sema4d/Reln/Tubb2a/Col6a5/Cxcl12/Prkcq/Nck1/Efnb1/Plxna3/Grin1/Pik3ca/Ncstn/Col2a1/Shc1/Slit3/Col4a2/Ptprc/Dok2/Irs2/Epha8/Cdk5r1/Kalrn/Col4a1/Arhgef28/Plxnc1/Gfra4/Dok1/Mapk12/Col6a2/Ptpra/Rras/Itga2b/Mapk11	110	1.42931483776655
R-MMU-422475	R-MMU-422475	Axon guidance	109/2468	203/6542	1.94158453016735e-06	0.000181676838179945	0.000157370535603038	Vldlr/Ank1/Tubb3/Artn/Pik3r3/Dscam/Ret/Gfra2/Dpysl3/Ntn4/Cdc42/Tubb4b/Dok4/Efna1/Mmp9/Nrp1/Col5a3/Crmp1/Msn/Pik3cb/Ezr/Dnm1/Csnk2a2/Fyn/Nfasc/Pik3r1/Vav3/Prkca/Dab1/Kif4/Gab1/Rap1gap/Cltc/Vav2/Grin2b/Shc3/Mmp2/Ephb2/Gfra1/Tuba4a/Slit2/Rasa1/Map2k1/Arhgef11/Col6a6/Mapk3/Gap43/Ephb3/Col9a3/Mapk7/Unc5a/Farp2/Limk1/Itga9/Rps6ka5/Efnb3/Ephb6/Dnm3/Sptbn1/Dpysl5/Itgb3/Ephb1/Pfn2/Col9a1/Sema6d/Mapk13/Numb/Kras/Cxcr4/Sh3kbp1/Rac1/Sptbn4/Git1/Tubb4a/Fgfr1/Sdc2/Sema4d/Reln/Tubb2a/Col6a5/Cxcl12/Prkcq/Nck1/Efnb1/Plxna3/Grin1/Pik3ca/Ncstn/Col2a1/Shc1/Slit3/Col4a2/Ptprc/Dok2/Irs2/Epha8/Cdk5r1/Kalrn/Col4a1/Arhgef28/Plxnc1/Gfra4/Dok1/Mapk12/Col6a2/Ptpra/Rras/Itga2b/Mapk11	109	1.4232980175807
R-MMU-446728	R-MMU-446728	Cell junction organization	40/2468	59/6542	2.49415817247025e-06	0.000188266098892468	0.00016307822788757	Nectin3/Cdh8/Ctnnb1/Amot/Cdh4/Adam19/Megf11/Cdh13/Sdk2/Cdh6/Pard6a/Nectin1/Parva/Nectin2/Cadm2/Cdh17/Pard6b/Pard3/Nectin4/Afdn/Col17a1/Pxn/Cdh2/Cdh11/Cadm3/Jup/Fermt2/Krt5/Cdh5/Cdh18/Itgb4/Sdk1/Fblim1/Parvb/Cdh15/Ilk/Ilf3/Flnc/Prkci/Cdh24	40	1.79710463423344
R-MMU-194315	R-MMU-194315	Signaling by Rho GTPases	218/2468	455/6542	2.77701162204894e-06	0.000188266098892468	0.00016307822788757	Sh3rf1/Ppp2r5a/Dock10/Arhgef3/Ophn1/Klc4/Ppp1r14a/Ktn1/Ptpn13/Pafah1b1/Ctnnb1/Vcp/Arap3/Kif18a/Ar/Tubb3/Cdca8/Ywhah/Spc25/Arhgap22/Pik3r3/Rhpn2/Kif2c/Slitrk5/Arhgap26/Arhgap21/Plekhg6/Daam1/Msi2/Arhgap25/Wasf3/Cdc42/Tubb4b/Myo6/Ndc80/Arhgap29/S100a9/Cenpu/Depdc1b/Gopc/Nup98/Nf2/Hint2/Pik3r1/Spen/Vav3/Iqgap3/Sfn/Arhgdia/Pard6a/Vamp3/Arhgdig/Prkca/Dock5/Lrrc1/Tjp2/Pak6/Dbt/Fgd4/Ppp2ca/Cltc/Sema4f/Esyt1/Kctd13/Nup160/Plekhg5/Fam169a/Vav2/Lmnb1/Pard6b/Git2/Noxa1/Amigo2/Cul3/Twf1/Tuba4a/Arhgap44/Prag1/Cdc42ep3/Myl9/Kidins220/Rnd3/Arhgef11/Ocrl/Snap23/Cavin1/Dync1li2/Tax1bp3/Mapk3/Arhgap15/Def6/Rapgef1/Add3/Dsp/Myh14/Arhgap33/Steap3/Ckb/Dync1i1/Ckap5/Ckap4/Lbr/Sec13/Cpsf7/Fgd2/Fmnl2/Arhgap9/Sos2/Plk1/Cdc20/Wasf1/Cenpq/Incenp/Als2/Arap1/Kif5a/Sgo1/Swap70/Cenpm/Farp2/Lck/Limk1/Bub1/Ppp2r5b/Myh10/Cenpa/Ccdc187/Arhgap24/Mpp7/Stip1/Sowahc/Mad1l1/Sptbn1/Fgd5/Tpm3/Jup/Rasgrf2/Fermt2/Cpne8/Stmn2/Tiam2/Ywhag/Tmod3/Srgap1/Rac2/Nhs/Arhgap32/Abi2/Spc24/Clip1/Pfn2/Filip1/Dlc1/Aaas/Rac1/Git1/Arhgef18/Klc3/Tubb4a/Dynll2/Taok3/Cenph/Arhgef15/Chn1/Tubb2a/Arhgap10/Dsg2/Rhof/Dvl3/Ptk2b/Cdc42ep4/B9d2/Zap70/S100a8/Fam13a/Aldh3a2/Pld2/Ccdc115/Nck1/Pkp4/Cenpt/Wipf1/Dlg4/Pik3ca/Aurkb/Stom/Gmip/Ncf4/Arhgef26/Dock6/Nuf2/Net1/Dvl1/Cyba/Srgap3/Arhgap19/Rhobtb1/Arhgef10/Arhgef19/Vav1/Rhov/Nup133/Arhgap18/Kalrn/Prkcd/Actc1/Bub1b/Arhgef28/Arhgap20/Abr/Fam83b/Prex1/Pik3r4/Ppp2r1b/Fmnl1/Arhgap8/Dync1h1/Mapk11	218	1.27001976953355
R-MMU-9716542	R-MMU-9716542	Signaling by Rho GTPases, Miro GTPases and RHOBTB3	223/2468	467/6542	2.87429158614455e-06	0.000188266098892468	0.00016307822788757	Sh3rf1/Ppp2r5a/Dock10/Arhgef3/Ophn1/Klc4/Ppp1r14a/Ktn1/Ptpn13/Pafah1b1/Ctnnb1/Vcp/Arap3/Kif18a/Ar/Tubb3/Cdca8/Ywhah/Spc25/Arhgap22/Pik3r3/Rhpn2/Kif2c/Slitrk5/Ccne1/Arhgap26/Arhgap21/Plekhg6/Daam1/Msi2/Arhgap25/Wasf3/Cdc42/Tubb4b/Myo6/Ndc80/Arhgap29/S100a9/Cenpu/Depdc1b/Gopc/Nup98/Nf2/Hint2/Pik3r1/Spen/Vav3/Iqgap3/Sfn/Arhgdia/Pard6a/Vamp3/Arhgdig/Prkca/Dock5/Lrrc1/Tjp2/Pak6/Dbt/Fgd4/Ppp2ca/Cltc/Sema4f/Esyt1/Kctd13/Nup160/Plekhg5/Fam169a/Vav2/Lmnb1/Pard6b/Git2/Noxa1/Amigo2/Cul3/Twf1/Tuba4a/Arhgap44/Prag1/Cdc42ep3/Myl9/Kidins220/Rnd3/Arhgef11/Ocrl/Snap23/Cavin1/Dync1li2/Tax1bp3/Mapk3/Arhgap15/Def6/Rapgef1/Add3/Dsp/Myh14/Arhgap33/Steap3/Ckb/Dync1i1/Ckap5/Ckap4/Lbr/Sec13/Cpsf7/Fgd2/Fmnl2/Arhgap9/Sos2/Plk1/Cdc20/Wasf1/Plin3/Cenpq/Incenp/Als2/Arap1/Kif5a/Sgo1/Swap70/Cenpm/Farp2/Lck/Limk1/Bub1/Ppp2r5b/Myh10/Cenpa/Ccdc187/Arhgap24/Mpp7/Stip1/Sowahc/Mad1l1/Sptbn1/Fgd5/Tpm3/Jup/Rasgrf2/Fermt2/Cpne8/Stmn2/Tiam2/Ywhag/Tmod3/Srgap1/Rac2/Nhs/Arhgap32/Abi2/Spc24/Clip1/Pfn2/Filip1/Dlc1/Aaas/Rac1/Git1/Arhgef18/Klc3/Tubb4a/Dynll2/Taok3/Cenph/Arhgef15/Chn1/Trak1/Tubb2a/Arhgap10/Dsg2/Rhof/Dvl3/Ptk2b/Cdc42ep4/B9d2/Zap70/S100a8/Fam13a/Aldh3a2/Pld2/Ccdc115/Nck1/Pkp4/Cenpt/Wipf1/Dlg4/Pik3ca/Aurkb/Stom/Rhobtb3/Gmip/Lrrc41/Ncf4/Arhgef26/Dock6/Nuf2/Net1/Dvl1/Cyba/Srgap3/Arhgap19/Rhobtb1/Arhgef10/Arhgef19/Vav1/Rhov/Nup133/Arhgap18/Kalrn/Prkcd/Actc1/Bub1b/Arhgef28/Arhgap20/Abr/Fam83b/Prex1/Pik3r4/Ppp2r1b/Fmnl1/Arhgap8/Dync1h1/Mapk11	223	1.26576582829815
