times	value	jaw	species
ham_BCR_AOSW	0	400.571749788919	md	ham
ham_BCR_BOSW	0	448.095324794077	mx	ham
ham_BCR_COSW	1.46389986334491	392.988593643906	md	ham
ham_BCR_DOSW	1.46389986334491	441.833490268708	mx	ham
ham_BCR_EOSW	2.81765488627557	546.602537788627	md	ham
ham_BCR_FOSW	2.81765488627557	597.313610768604	mx	ham
ham_BCR_GOSW	5.02848465495537	432.601852415073	md	ham
ham_BCR_HOSW	5.02848465495537	661.011875505792	mx	ham
ham_BCR_IOSW	5.93317273991783	402.611776184066	md	ham
ham_BCR_KOSW	5.93317273991783	611.600599132322	mx	ham
ham_BCR_LOSW	6.52211285128225	377.212887974447	md	ham
ham_BCR_MOSW	6.52211285128225	544.336853878264	mx	ham
ham_BCR_NOSW	7.67984517227558	334.867618173824	md	ham
ham_BCR_POSW	7.67984517227558	477.778392035761	mx	ham
ham_BCR_QOSW	10.1783386647182	317.317353091607	md	ham
ham_BCR_ROSW	10.1783386647182	397.384625988	mx	ham
ham_BGE_AOSW	-0.894083420156937	339.590100796594	md	ham
ham_BGE_BOSW	-0.894083420156937	339.334156826346	mx	ham
ham_BGE_COSW	0.698484058119665	379.866870388083	md	ham
ham_BGE_DOSW	0.698484058119665	509.09449939603	mx	ham
ham_BGE_EOSW	3.01729896724116	433.305791037283	md	ham
ham_BGE_FOSW	3.01729896724116	497.316959859669	mx	ham
ham_BGE_GOSW	5.12692785593064	480.287482115744	md	ham
ham_BGE_HOSW	5.12692785593064	658.601841921744	mx	ham
ham_BGE_IOSW	6.30073677514707	400.671828938204	md	ham
ham_BGE_KOSW	6.30073677514707	648.079985361569	mx	ham
ham_BGE_NOSW	6.41247493097134	376.715831312482	md	ham
ham_BGE_POSW	6.41247493097134	556.575319588115	mx	ham
ham_BGE_QOSW	9.82166133528177	273.21068108773	md	ham
ham_BGE_ROSW	9.82166133528177	464.214214672113	mx	ham
mus_AXR_MAOSW	-0.00902977873575201	279.856351124593	md	mus
mus_AXR_MBOSW	-0.00902977873575201	223.736327266938	mx	mus
mus_AXR_MCOSW	1.24505572757754	296.913995777936	md	mus
mus_AXR_MDOSW	1.24505572757754	297.212793304859	mx	mus
mus_AXR_MEOSW	2.18118654585779	346.074063794936	md	mus
mus_AXR_MFOSW	2.18118654585779	363.13808201343	mx	mus
mus_AXR_MGOSW	3.89650514691696	389.135753028622	md	mus
mus_AXR_MHOSW	3.89650514691696	392.364244596313	mx	mus
mus_AXR_MIOSW	5.7976001862437	332.003472412045	md	mus
mus_AXR_MKOSW	5.7976001862437	488.370708606037	mx	mus
mus_AXR_MLOSW	7.03507432038484	359.867224814912	md	mus
mus_AXR_MMOSW	7.03507432038484	501.329322830211	mx	mus
mus_AXR_MNOSW	8.51136827528012	350.000666397833	md	mus
mus_AXR_MPOSW	8.51136827528012	482.154051685413	mx	mus
mus_AXR_MQOSW	10.1025733189432	324.434943405055	md	mus
mus_AXR_MROSW	10.1025733189432	401.067985635646	mx	mus
mus_BGF_MAOSW	0.00902977873574668	236.216915566543	md	mus
mus_BGF_MBOSW	0.00902977873574668	199.409525652434	mx	mus
mus_BGF_MCOSW	1.02164634028055	293.856226903065	md	mus
mus_BGF_MDOSW	1.02164634028055	279.566278462044	mx	mus
mus_BGF_MEOSW	2.67320167854497	378.972813401129	md	mus
mus_BGF_MFOSW	2.67320167854497	225.656862624194	mx	mus
mus_BGF_MGOSW	3.92146195736321	359.058983911743	md	mus
mus_BGF_MHOSW	3.92146195736321	449.564754415308	mx	mus
mus_BGF_MIOSW	5.41226550627314	315.424376287543	md	mus
mus_BGF_MKOSW	5.41226550627314	406.233545521917	mx	mus
mus_BGF_MLOSW	7.58673153417019	276.092176415368	md	mus
mus_BGF_MMOSW	7.58673153417019	350.08293372507	mx	mus
mus_BGF_MNOSW	9.24322191430956	277.306726531701	md	mus
mus_BGF_MPOSW	9.24322191430956	443.750621572675	mx	mus
mus_BGF_MQOSW	9.89742668105678	283.215437137612	md	mus
mus_BGF_MROSW	9.89742668105678	397.059615766957	mx	mus
