sample	tooth	stage	species	rep	timerel	stagenorm	Axis1	Axis2	Axis3	Axis4	Axis5	Axis6	Axis7	Axis8	Axis9	Axis10
ham_BGE_AAOSW	ham_md_11.8_rep2	md	11.8	ham	rep2	-7.99999999999997	-7.99999999999997	-89.3360818732471	-91.5231467028006	24.4976504756349	-30.2627329870298	70.0540955633724	0.706026114906311	5.27554202116368	3.81004092411342	11.1437004239033	-16.7170219497335
ham_BGE_AOSW	ham_md_12_rep2	md	12	ham	rep2	0	0	-85.3644243829776	-56.2607045452881	39.778685329364	7.66506856900061	6.65202638383118	4.62136337683549	9.61537130975393	-10.2095995509586	5.53161882253037	-12.7678164755319
ham_BCR_AOSW	ham_md_12.25_rep1	md	12.25	ham	rep1	10	10	-82.0483031230187	-41.3687533616574	28.3932527886842	-10.2965891032291	-16.0549994471682	1.20271672240827	10.1093221476725	-17.5664909144122	0.106528047513732	-6.32368565364474
ham_BCR_COSW	ham_md_12.5_rep1	md	12.5	ham	rep1	20	20	-80.659243571503	-31.872486027595	3.4245162583637	-23.5866539330005	-10.1857307822658	-9.62983576038623	-12.2211277152675	-12.8517844350524	-1.8130377353916	-0.883768631140739
ham_BGE_COSW	ham_md_12.5_rep2	md	12.5	ham	rep2	20	20	-83.4858337104089	-35.0229402510921	35.8841737150799	11.4451847876222	-10.9331985968519	5.47289096337228	5.5303316278583	-22.8727577279317	-1.012989830227	-17.6535607812781
ham_BCR_EOSW	ham_md_13_rep1	md	13	ham	rep1	40	40	-86.0838656110903	-19.0234248288564	8.68021297536179	5.66398474168712	-5.68878660529516	-38.929684825384	-11.8789276092366	24.3795922325756	-1.81480870864634	11.5111742874629
ham_BGE_EOSW	ham_md_13_rep2	md	13	ham	rep2	40	40	-83.0969642318491	-6.85190480394182	9.74608406419199	9.30572271848453	-10.683462715891	-14.9936962599028	-20.8746709069281	-4.72536202011664	-7.90371383891831	-11.4964079381228
ham_BCR_GOSW	ham_md_13.25_rep1	md	13.25	ham	rep1	50	50	-80.5371024307518	15.2744865083107	-10.999076803486	-4.84019048619365	-15.806083419431	-11.8334759948338	-7.16737821199198	-3.01584349193359	-7.45116366107837	-3.52267424439917
ham_BGE_GOSW	ham_md_13.25_rep2	md	13.25	ham	rep2	50	50	-79.1102481249251	25.1879348535447	4.30911113118362	20.3208401620096	-24.7134888753713	-0.161036951313745	-7.17773547513754	-10.7240126222832	-3.75015519503027	-18.123236295358
ham_BCR_IOSW	ham_md_13.5_rep1	md	13.5	ham	rep1	60	60	-80.8350904935781	30.4055353349211	-15.5402397341313	-5.72274426703034	-3.89712815341818	-13.8241176011477	1.6484147757631	-9.36124121775366	-7.69286629603097	-18.4282329275281
ham_BGE_IOSW	ham_md_13.5_rep2	md	13.5	ham	rep2	60	60	-81.7242662056689	37.1199858704831	-3.00682147827054	23.0323445160652	3.83557878860609	-11.2700207319718	-2.18537765833366	-2.20734205044159	-6.34369200680429	-20.1886230389691
ham_BCR_LOSW	ham_md_13.75_rep1	md	13.75	ham	rep1	70	70	-77.9194116891799	42.9077845252162	-12.7105476105312	5.56831074099206	-10.3261186598434	5.64386400087969	-4.14912223035827	-19.5052866709456	-10.8148906356799	-17.5244593189226
ham_BCR_NOSW	ham_md_14_rep1	md	14	ham	rep1	80	80	-78.8079734986814	49.805780340624	-10.9922414530541	14.1171627470603	-1.13858741744786	-10.7539096509852	17.8398311976634	-0.448507007717875	10.8253052831791	-13.6993001919053
ham_BGE_NOSW	ham_md_14_rep2	md	14	ham	rep2	80	80	-87.9882323362274	23.4325107450185	-16.4814551945487	13.9905815304075	46.6037153269289	-26.2950584783013	-8.58014597495966	13.4374440788342	-11.9514499461364	-12.8110676234317
ham_BCR_QOSW	ham_md_14.5_rep1	md	14.5	ham	rep1	100	100	-78.9522461502042	75.5540626838947	-42.4811513671392	0.155842417247247	24.5020916410441	-0.614160594978244	48.6948687706386	-7.76958137260998	34.8835172271277	4.66261950258416
ham_BGE_QOSW	ham_md_14.5_rep2	md	14.5	ham	rep2	100	100	-79.0368787721267	72.8927708432296	-26.4169840586886	21.5265432093537	17.8508272536729	11.3590281818106	27.076936018379	-11.2992047499745	20.6743678430041	-1.97487946266794
ham_BGE_BAOSW	ham_mx_11.8_rep2	mx	11.8	ham	rep2	-7.99999999999997	-7.99999999999997	-86.3072807292344	-85.9383944565415	21.0706265771258	-19.1251129132164	62.2089315462549	21.4366178955781	5.08019659826228	16.5629295050219	16.4664693141975	1.65436098631636
ham_BGE_BOSW	ham_mx_12_rep2	mx	12	ham	rep2	0	0	-82.7299884190624	-68.0926948207454	37.4652024598818	-6.39990703399704	-4.65918291894372	9.90045750486884	10.331599005888	4.21933790938089	14.6309114020814	5.45620462325279
ham_BCR_BOSW	ham_mx_12.25_rep1	mx	12.25	ham	rep1	10	10	-81.1242559065594	-49.5897775684456	32.0683223581665	-9.07817176499609	-21.0386548637111	19.3753554648618	15.1885352103851	-7.63670471670225	7.83008606722059	9.8316314923723
ham_BCR_DOSW	ham_mx_12.5_rep1	mx	12.5	ham	rep1	20	20	-80.0955037387049	-38.5269103128974	-1.48834973728419	-25.7198778464218	-16.2127116811673	9.53217401614877	-9.43640611752611	-2.39002134215492	1.88948132056887	25.5086674284829
ham_BGE_DOSW	ham_mx_12.5_rep2	mx	12.5	ham	rep2	20	20	-81.2977669190303	-43.2675517512016	35.4178265122553	8.86446822185487	-18.864713981683	15.4026596548757	6.84873785315135	-10.9965181416292	5.96940852853282	3.71242438976613
ham_BCR_FOSW	ham_mx_13_rep1	mx	13	ham	rep1	40	40	-80.3608954213162	-18.7716845695941	-12.6762841777662	-12.4453544443974	-19.1934249554115	-6.59628784481387	-18.6346519207921	28.1557794444383	5.69702818135312	42.7242567683891
ham_BGE_FOSW	ham_mx_13_rep2	mx	13	ham	rep2	40	40	-78.4897217853301	-10.8344966539484	-16.2482263390486	-17.7243638536455	-9.3997077572337	27.0378057548028	-26.1196960605501	-7.59722830148678	-4.13042299167287	12.2806363708377
ham_BCR_HOSW	ham_mx_13.25_rep1	mx	13.25	ham	rep1	50	50	-76.8669233276645	4.00033634054296	-16.1574133079438	-18.3627556080353	-33.825803283358	3.12806906426404	-16.438479341329	12.9833460450317	-5.95014092462939	24.3011346703723
ham_BGE_HOSW	ham_mx_13.25_rep2	mx	13.25	ham	rep2	50	50	-76.2808307256012	13.9472448835344	1.49967759010018	3.23766852667933	-33.3472346893365	20.5100163101841	-10.3766953145879	-6.56622232088751	-8.78961194932238	-3.72026643477193
ham_BCR_KOSW	ham_mx_13.5_rep1	mx	13.5	ham	rep1	60	60	-79.9139536060022	15.7361412098204	-10.169858421297	-7.32619203895637	-18.9506795690123	-3.29768647048093	-8.8274821569299	3.73898169836396	-12.8643692886787	1.99537732116758
ham_BGE_KOSW	ham_mx_13.5_rep2	mx	13.5	ham	rep2	60	60	-84.1491337206724	17.9421731199755	-8.84591196537432	12.9622368551997	17.7249792067664	-5.073112248682	-14.4060996630824	16.7390435162059	-17.8634526199968	2.8217932767654
ham_BCR_MOSW	ham_mx_13.75_rep1	mx	13.75	ham	rep1	70	70	-77.7276243026654	32.6693999121676	-11.9693449325052	-3.45780914929605	-17.7590848487974	19.1316583160098	-11.4732969651466	-13.2270046999803	-19.4971354774247	0.443146962736429
