comparison	window	typedist	mD	medD
1	ham	(-0.905,0.213]	dist	338.956003464232	338.956003464232
2	ham	(0.213,1.32]	dist	416.838812449634	416.838812449634
3	ham	(1.32,2.43]	dist	463.417353764428	463.417353764428
4	ham	(2.43,3.53]	dist	471.397245218027	471.397245218027
5	ham	(3.53,4.64]	dist	455.800644678751	455.800644678751
6	ham	(4.64,5.75]	dist	436.738835086381	436.738835086381
7	ham	(5.75,6.86]	dist	431.610451038058	431.610451038058
8	ham	(6.86,7.96]	dist	442.869352771199	442.869352771199
9	ham	(7.96,9.07]	dist	471.130619132298	471.130619132298
10	ham	(9.07,10.2]	dist	533.636579271958	533.636579271958
11	mus	(-0.905,0.213]	dist	447.065957684577	447.065957684577
12	mus	(0.213,1.32]	dist	529.936599681554	529.936599681554
13	mus	(1.32,2.43]	dist	594.16178486356	594.16178486356
14	mus	(2.43,3.53]	dist	610.700182740623	610.700182740623
15	mus	(3.53,4.64]	dist	591.875236586565	591.875236586565
16	mus	(4.64,5.75]	dist	559.242090071861	559.242090071861
17	mus	(5.75,6.86]	dist	532.951304843979	532.951304843979
18	mus	(6.86,7.96]	dist	523.126489909723	523.126489909723
19	mus	(7.96,9.07]	dist	528.206045874973	528.206045874973
20	mus	(9.07,10.2]	dist	558.959723501899	558.959723501899
21	md	(-0.905,0.213]	dist	1272.25491383702	1272.25491383702
22	md	(0.213,1.32]	dist	1270.90945190382	1270.90945190382
23	md	(1.32,2.43]	dist	1284.95599998561	1284.95599998561
24	md	(2.43,3.53]	dist	1282.42324565411	1282.42324565411
25	md	(3.53,4.64]	dist	1264.79593194832	1264.79593194832
26	md	(4.64,5.75]	dist	1245.96414100395	1245.96414100395
27	md	(5.75,6.86]	dist	1239.13307770941	1239.13307770941
28	md	(6.86,7.96]	dist	1248.60639185879	1248.60639185879
29	md	(7.96,9.07]	dist	1272.13770637705	1272.13770637705
30	md	(9.07,10.2]	dist	1326.10619944724	1326.10619944724
31	mx	(-0.905,0.213]	dist	1439.10349922694	1439.10349922694
32	mx	(0.213,1.32]	dist	1455.31275982437	1455.31275982437
33	mx	(1.32,2.43]	dist	1483.55797369457	1483.55797369457
34	mx	(2.43,3.53]	dist	1490.40369043997	1490.40369043997
35	mx	(3.53,4.64]	dist	1480.57177181079	1480.57177181079
36	mx	(4.64,5.75]	dist	1470.37074021445	1470.37074021445
37	mx	(5.75,6.86]	dist	1471.19036028819	1471.19036028819
38	mx	(6.86,7.96]	dist	1488.83217620594	1488.83217620594
39	mx	(7.96,9.07]	dist	1528.26149190865	1528.26149190865
40	mx	(9.07,10.2]	dist	1609.29753093104	1609.29753093104
41	ham	(-0.905,0.213]	normdist	0.114014047399409	0.114014047399409
42	ham	(0.213,1.32]	normdist	0.130154706873497	0.130154706873497
43	ham	(1.32,2.43]	normdist	0.138904744138919	0.138904744138919
44	ham	(2.43,3.53]	normdist	0.139617431668088	0.139617431668088
45	ham	(3.53,4.64]	normdist	0.136190771844465	0.136190771844465
46	ham	(4.64,5.75]	normdist	0.132614045602261	0.132614045602261
47	ham	(5.75,6.86]	normdist	0.131195385465422	0.131195385465422
48	ham	(6.86,7.96]	normdist	0.131238903252787	0.131238903252787
49	ham	(7.96,9.07]	normdist	0.133146835256646	0.133146835256646
50	ham	(9.07,10.2]	normdist	0.142588117376405	0.142588117376405
51	mus	(-0.905,0.213]	normdist	0.149482317908776	0.149482317908776
52	mus	(0.213,1.32]	normdist	0.161742723052572	0.161742723052572
53	mus	(1.32,2.43]	normdist	0.169672904719941	0.169672904719941
54	mus	(2.43,3.53]	normdist	0.171289966654511	0.171289966654511
55	mus	(3.53,4.64]	normdist	0.169579331665209	0.169579331665209
56	mus	(4.64,5.75]	normdist	0.167263133448966	0.167263133448966
57	mus	(5.75,6.86]	normdist	0.165437386950192	0.165437386950192
58	mus	(6.86,7.96]	normdist	0.164406495508728	0.164406495508728
59	mus	(7.96,9.07]	normdist	0.164783759108517	0.164783759108517
60	mus	(9.07,10.2]	normdist	0.171616583312449	0.171616583312449
61	md	(-0.905,0.213]	normdist	0.291481647869392	0.291481647869392
62	md	(0.213,1.32]	normdist	0.287587878509796	0.287587878509796
63	md	(1.32,2.43]	normdist	0.289019953429181	0.289019953429181
64	md	(2.43,3.53]	normdist	0.288525205485262	0.288525205485262
65	md	(3.53,4.64]	normdist	0.286020601666316	0.286020601666316
66	md	(4.64,5.75]	normdist	0.283263505673112	0.283263505673112
67	md	(5.75,6.86]	normdist	0.28186942362323	0.28186942362323
68	md	(6.86,7.96]	normdist	0.281669790237862	0.281669790237862
69	md	(7.96,9.07]	normdist	0.28221190916316	0.28221190916316
70	md	(9.07,10.2]	normdist	0.287517222912589	0.287517222912589
71	mx	(-0.905,0.213]	normdist	0.321936912397731	0.321936912397731
72	mx	(0.213,1.32]	normdist	0.319708812223632	0.319708812223632
73	mx	(1.32,2.43]	normdist	0.320175760018613	0.320175760018613
74	mx	(2.43,3.53]	normdist	0.31976351820344	0.31976351820344
75	mx	(3.53,4.64]	normdist	0.31829049362872	0.31829049362872
76	mx	(4.64,5.75]	normdist	0.316989565394346	0.316989565394346
77	mx	(5.75,6.86]	normdist	0.316229283027086	0.316229283027086
78	mx	(6.86,7.96]	normdist	0.316576946435399	0.316576946435399
79	mx	(7.96,9.07]	normdist	0.318077082526571	0.318077082526571
80	mx	(9.07,10.2]	normdist	0.323074877250792	0.323074877250792
