sample	weight	stage	replicate	fit_GAM	lower1_GAM	upper1_GAM	species	type	time	timeL	timeU	jaw	morphostage
1	BL	359	15	rep1	15.0236552445959	14.9826568299495	15.0646536592423	mus	BL	1.10542788409585	0.982329904658317	1.22852586353339	NA	NA
2	EpiMes	413	12.5	rep1	12.5835322585243	12.5150550617973	12.6520094552514	ham	EpiMes	1.22616948180712	0.924627071786177	1.52771189182851	NA	NA
3	EpiMes	427	12.5	rep2	12.62538817105	12.5549505603887	12.6958257817112	ham	EpiMes	1.41048387170458	1.1003086909126	1.72065905249612	NA	NA
4	EpiMes	788	16	rep1	16.7253636673591	16.6726990103324	16.7780283243858	mus	EpiMes	6.21481736270533	6.05669142238128	6.37294330302939	NA	NA
5	EpiMes	350	15	rep1	14.9876482824561	14.9463245370659	15.0289720278462	mus	EpiMes	0.997316769963237	0.873241983067266	1.12139155685891	NA	NA
6	EpiMes	370	15	rep2	15.066335407262	15.0252273158374	15.1074434986866	mus	EpiMes	1.23357532178522	1.11014803718054	1.35700260638989	NA	NA
7	ham_BCR_AOSW	310	12.2	rep1	12.3050817121467	12.2310980583116	12.3790653659819	ham	Whole	0	-0.325790341104821	0.325790341105259	md	PEK
8	ham_BCR_COSW	431	12.5	rep1	12.6375183963396	12.5667820227455	12.7082547699336	ham	Whole	1.46389986334491	1.1524090665656	1.77539066012378	md	1
9	ham_BCR_EOSW	532	13	rep1	12.9449423139867	12.8674716178156	13.0224130101577	ham	Whole	2.81765488627557	2.47650919769595	3.15880057485474	md	2
10	ham_BCR_GOSW	776	13.25	rep1	13.4469991390591	13.3682726661188	13.5257256119994	ham	Whole	5.02848465495537	4.68180909699541	5.37516021291532	md	3/4
11	ham_BCR_IOSW	958	13.5	rep1	13.6524445487653	13.5866149532956	13.718274144235	ham	Whole	5.93317273991783	5.64328916089553	6.22305631894013	md	5/6
12	ham_BCR_LOSW	1050	13.75	rep1	13.7861868235701	13.7156182359562	13.8567554111841	ham	Whole	6.52211285128225	6.21136090759938	6.83286479496556	md	6
13	ham_BCR_NOSW	1195	14	rep1	14.0490959907959	13.969491977302	14.1287000042898	ham	Whole	7.67984517227558	7.32930532509131	8.03038501945986	md	6
14	ham_BCR_QOSW	1667	14.5	rep1	14.6164783049163	14.5216337714092	14.7113228384234	ham	Whole	10.1783386647182	9.76068650344385	10.5959908259926	md	DF
15	ham_BGE_AAOSW	231	11.8	rep2	12.0792778028692	12.0137660577374	12.1447895480009	ham	Whole	-0.994337651804615	-1.28282156259432	-0.705853741015356	md	BUD
16	ham_BGE_AOSW	237	12	rep2	12.1020445133388	12.0375384789843	12.1665505476932	ham	Whole	-0.894083420156937	-1.17813863838815	-0.610028201926164	md	BUD
