sample	timerelGAM	Lmedian	Lmini	Lmaxi	tooth	species
mus_AXR_MAOSW	-0.00902977873590121	0.152166242149979	0.273234133266979	0.116962986699591	lower	mus
mus_AXR_MBOSW	-0.00902977873590121	0.295926847611353	0.389647382424293	0.242708796714349	upper	mus
mus_AXR_MCOSW	1.24505572757768	0.0507209101864121	0.203387575919062	0.0276997063320246	lower	mus
mus_AXR_MDOSW	1.24505572757768	0.180771738381824	0.261378062566015	0.141479702172379	upper	mus
mus_AXR_MEOSW	2.18118654585791	0.0392621898864516	0.110706741849786	0.0212707016730815	lower	mus
mus_AXR_MFOSW	2.18118654585791	0.260022400960752	0.318126020848327	0.176329579963452	upper	mus
mus_AXR_MGOSW	3.89650514691705	4.44089209850063e-16	0.0601152534949789	2.22044604925031e-16	lower	mus
mus_AXR_MHOSW	3.89650514691705	0.10925528740994	0.126349254495107	0.0902215823608088	upper	mus
mus_AXR_MIOSW	5.79760018624376	4.44089209850063e-16	0.0206530308466482	2.22044604925031e-16	lower	mus
mus_AXR_MKOSW	5.79760018624376	0.0148642909760509	0.055988057813732	2.22044604925031e-16	upper	mus
mus_AXR_MLOSW	7.03507432038489	4.44089209850063e-16	0.0120749949836626	2.22044604925031e-16	lower	mus
mus_AXR_MMOSW	7.03507432038489	0.00861262628225745	0.0669385669333239	2.22044604925031e-16	upper	mus
mus_AXR_MNOSW	8.51136827528014	2.22044604925031e-16	0.0137218693976748	2.22044604925031e-16	lower	mus
mus_AXR_MPOSW	8.51136827528014	4.44089209850063e-16	0.0507755522505016	2.22044604925031e-16	upper	mus
mus_AXR_MQOSW	10.1025733189432	4.44089209850063e-16	0.0230078877126227	2.22044604925031e-16	lower	mus
mus_AXR_MROSW	10.1025733189432	4.44089209850063e-16	0.0384221383357286	2.22044604925031e-16	upper	mus
mus_BGF_MAOSW	0.00902977873590121	0.389161379543735	0.462019219169032	0.221615842344243	lower	mus
mus_BGF_MBOSW	0.00902977873590121	0.553077960265325	0.673458807216682	0.384032540995576	upper	mus
mus_BGF_MCOSW	1.02164634028069	0.079376790788994	0.125327497230877	0.061465027803928	lower	mus
mus_BGF_MDOSW	1.02164634028069	0.256644110104786	0.316044385500506	0.206548175861539	upper	mus
