sample	timerelGAM	median	mini	maxi	tooth	species
mus_AXR_MAOSW	0.435655408126284	0.618061475853056	0.513848323224542	0.704697247001578	lower	mus
mus_AXR_MBOSW	0.435655408126284	0.691451651075227	0.615479810637859	0.75413856001001	upper	mus
mus_AXR_MCOSW	1.62902575830971	0.50490382423516	0.374245733995079	0.605467843258615	lower	mus
mus_AXR_MDOSW	1.62902575830971	0.674447370068429	0.584421199821539	0.744117837508759	upper	mus
mus_AXR_MEOSW	2.51983484333971	0.586091591741867	0.436415028118067	0.685539839912085	lower	mus
mus_AXR_MFOSW	2.51983484333971	0.749458568470894	0.667596145542394	0.80802313978499	upper	mus
mus_AXR_MGOSW	4.15210820055229	0.594758090493215	0.470548287672483	0.697844629086878	lower	mus
mus_AXR_MHOSW	4.15210820055229	0.75507678081433	0.667078862465842	0.821521184350377	upper	mus
mus_AXR_MIOSW	5.961163836226	0.643798449167122	0.519615706883518	0.745439428784656	lower	mus
mus_AXR_MKOSW	5.961163836226	0.75050346590428	0.657851356491625	0.817584612873379	upper	mus
mus_AXR_MLOSW	7.13872703536058	0.609998174540804	0.489688173587482	0.725939838405082	lower	mus
mus_AXR_MMOSW	7.13872703536058	0.705371700124118	0.605282016988369	0.787502150446763	upper	mus
mus_AXR_MNOSW	8.54354785902657	0.605086586763349	0.491568919383365	0.725043224808567	lower	mus
mus_AXR_MPOSW	8.54354785902657	0.747360324720389	0.656832847991943	0.821928869231778	upper	mus
mus_AXR_MQOSW	10.0577164787977	0.648712173070369	0.544538095825834	0.746581495211726	lower	mus
mus_AXR_MROSW	10.0577164787977	0.736858253531188	0.649797784151229	0.812376135685039	upper	mus
mus_BGF_MAOSW	0.452840632192572	0.678784346836316	0.603178456292303	0.746347127121795	lower	mus
mus_BGF_MBOSW	0.452840632192572	0.76107685281015	0.70961286525015	0.804930531525007	upper	mus
mus_BGF_MCOSW	1.41643248822514	0.510968275976322	0.384756702006586	0.609120351263435	lower	mus
mus_BGF_MDOSW	1.41643248822514	0.669575282029662	0.588472962612161	0.736488389268693	upper	mus
mus_BGF_MEOSW	2.98802961015143	0.564880226780758	0.429881037719832	0.668298550459974	lower	mus
mus_BGF_MFOSW	2.98802961015143	0.753894741602569	0.667550301387844	0.81503490758269	upper	mus
mus_BGF_MGOSW	4.17585675475515	0.578970299710055	0.436121099306153	0.683061594302399	lower	mus
mus_BGF_MHOSW	4.17585675475515	0.714749301235183	0.617750895971417	0.785021350085091	upper	mus
mus_BGF_MIOSW	5.594484706566	0.614112819743565	0.454628732022562	0.717652712899291	lower	mus
mus_BGF_MKOSW	5.594484706566	0.680766582376441	0.572400776168186	0.756912280741996	upper	mus
mus_BGF_MLOSW	7.663676378194	0.673760647573894	0.571275638257534	0.771672670068861	lower	mus
mus_BGF_MMOSW	7.663676378194	0.74513126563668	0.6578872157064	0.818511350946298	upper	mus
mus_BGF_MNOSW	9.23996961742714	0.643649279909903	0.544080043727304	0.753970864401428	lower	mus
mus_BGF_MPOSW	9.23996961742714	0.695687911706214	0.60566293850512	0.789208111698366	upper	mus
mus_BGF_MQOSW	9.86250178740629	0.632407162966952	0.532748678780384	0.737651325275765	lower	mus
mus_BGF_MROSW	9.86250178740629	0.713427943656667	0.628216866311162	0.800546876652078	upper	mus
ham_BCR_AOSW	1.2203268485868	0.654394140069346	0.542573876005114	0.752973508837757	lower	ham
ham_BCR_BOSW	1.2203268485868	0.657790987463072	0.549744344424756	0.759641945129817	upper	ham
ham_BCR_COSW	2.5500735853584	0.580224003674898	0.451030737946864	0.711021399677815	lower	ham
ham_BCR_DOSW	2.5500735853584	0.610130226815666	0.494614123534079	0.733497966162513	upper	ham
ham_BCR_EOSW	3.7797692559468	0.411811464064869	0.317896536090801	0.549336339758252	lower	ham
ham_BCR_FOSW	3.7797692559468	0.498850304803111	0.350935184171313	0.619440291475412	upper	ham
ham_BCR_GOSW	5.7879965562364	0.585481877633569	0.46243651585982	0.724121195205349	lower	ham
ham_BCR_HOSW	5.7879965562364	0.517169721496844	0.40236694302832	0.680466153878911	upper	ham
ham_BCR_IOSW	6.6097781950612	0.631064799728444	0.496378733233897	0.76070252221378	lower	ham
ham_BCR_KOSW	6.6097781950612	0.580520457157443	0.461593513580536	0.733806491288247	upper	ham
ham_BCR_LOSW	7.1447472942804	0.633431775030659	0.491946539933006	0.766655823159795	lower	ham
ham_BCR_MOSW	7.1447472942804	0.651872611937495	0.529026759781691	0.788869645625797	upper	ham
ham_BCR_NOSW	8.1963839631836	0.574040585018626	0.455371002924858	0.725052156104003	lower	ham
ham_BCR_POSW	8.1963839631836	0.535155392242022	0.416939182028431	0.703115517497952	upper	ham
ham_BCR_QOSW	10.4659132196652	0.661136880403262	0.492258191133704	0.77870651219985	lower	ham
ham_BCR_ROSW	10.4659132196652	0.627575500671081	0.513346364595865	0.763202001076052	upper	ham
ham_BGE_AAOSW	0.317111211476799	0.666051212802519	0.563789219932978	0.760405335336034	lower	ham
ham_BGE_AOSW	0.408178053355201	0.665442124595557	0.561684573336618	0.760722569616832	lower	ham
ham_BGE_BAOSW	0.317111211476799	0.681226888094221	0.61134480191122	0.763132171098007	upper	ham
ham_BGE_BOSW	0.408178053355201	0.652552014151929	0.551213661890338	0.748913008330948	upper	ham
ham_BGE_COSW	1.8548011867764	0.670574967038495	0.550114786009916	0.774160406969804	lower	ham
ham_BGE_DOSW	1.8548011867764	0.614925856858807	0.496154956889469	0.731483292620099	upper	ham
ham_BGE_EOSW	3.9611177701636	0.555177354068876	0.428025692864947	0.697986584109057	lower	ham
ham_BGE_FOSW	3.9611177701636	0.677869339038523	0.559133351192684	0.785778655390426	upper	ham
ham_BGE_GOSW	5.8774183319548	0.594014452630934	0.46512090213582	0.735533086639595	lower	ham
ham_BGE_HOSW	5.8774183319548	0.655296636516056	0.531809686665497	0.784155945424357	upper	ham
ham_BGE_IOSW	6.94365832487	0.574665909712641	0.452888797483369	0.718450700857719	lower	ham
ham_BGE_KOSW	6.94365832487	0.523075824956531	0.405123706184096	0.695345728167429	upper	ham
ham_BGE_NOSW	7.0451566935772	0.496565693569746	0.382446263079548	0.672475323259072	lower	ham
ham_BGE_POSW	7.0451566935772	0.536917200813791	0.41385366190778	0.714055381709395	upper	ham
ham_BGE_QOSW	10.141922127942	0.6301899619695	0.496363171280805	0.775198408920565	lower	ham
ham_BGE_ROSW	10.141922127942	0.554201445873118	0.442633771172599	0.715865891464879	upper	ham
ham_md_lightsheet1	 1.4639	0.75	0.25	0.25	lower	ham
ham_mx_lightsheet1	 1.4639	0.77	0.23	0.23	upper	ham
mus_md_lightsheet1	1.61629	0.66	0.66	0.66	lower	mus
mus_mx_lightsheet1	1.61629	0.76	0.76	0.76	upper	mus


