times	value	jaw	species
ham_BCR_AOSW	0	2688.81192669194	md	ham
ham_BCR_BOSW	0	2741.51692950382	mx	ham
ham_BCR_COSW	1.46389986334491	3418.52728446868	md	ham
ham_BCR_DOSW	1.46389986334491	3624.06213994821	mx	ham
ham_BCR_EOSW	2.81765488627557	3967.66315807095	md	ham
ham_BCR_FOSW	2.81765488627557	5096.22889187681	mx	ham
ham_BCR_GOSW	5.02848465495537	3560.94513572228	md	ham
ham_BCR_HOSW	5.02848465495537	4369.54603418764	mx	ham
ham_BCR_IOSW	5.93317273991783	3714.1745894085	md	ham
ham_BCR_KOSW	5.93317273991783	3937.52199010504	mx	ham
ham_BCR_LOSW	6.52211285128225	3401.79226837372	md	ham
ham_BCR_MOSW	6.52211285128225	3617.68001140999	mx	ham
ham_BCR_NOSW	7.67984517227558	3642.75864128833	md	ham
ham_BCR_POSW	7.67984517227558	3938.90564886745	mx	ham
ham_BCR_QOSW	10.1783386647182	4194.15241699978	md	ham
ham_BCR_ROSW	10.1783386647182	4058.82158870763	mx	ham
ham_BGE_AOSW	-0.894083420156937	2604.84418424443	md	ham
ham_BGE_BOSW	-0.894083420156937	2884.80773544381	mx	ham
ham_BGE_COSW	0.698484058119665	2580.34869306989	md	ham
ham_BGE_DOSW	0.698484058119665	2628.76185441811	mx	ham
ham_BGE_EOSW	3.01729896724116	3463.06112680578	md	ham
ham_BGE_FOSW	3.01729896724116	4240.37093295732	mx	ham
ham_BGE_GOSW	5.12692785593064	3511.35320418209	md	ham
ham_BGE_HOSW	5.12692785593064	3812.44220993391	mx	ham
ham_BGE_IOSW	6.30073677514707	3641.53720519826	md	ham
ham_BGE_KOSW	6.30073677514707	4030.80335993509	mx	ham
ham_BGE_NOSW	6.41247493097134	4067.39799823101	md	ham
ham_BGE_POSW	6.41247493097134	3996.74913582542	mx	ham
ham_BGE_QOSW	9.82166133528177	3677.39672836899	md	ham
ham_BGE_ROSW	9.82166133528177	3899.21842304509	mx	ham
mus_AXR_MAOSW	-0.00902977873575201	3678.11204335179	md	mus
mus_AXR_MBOSW	-0.00902977873575201	3426.59239958374	mx	mus
mus_AXR_MCOSW	1.24505572757754	3885.82588649183	md	mus
mus_AXR_MDOSW	1.24505572757754	3343.89243035968	mx	mus
mus_AXR_MEOSW	2.18118654585779	3529.95545070835	md	mus
mus_AXR_MFOSW	2.18118654585779	3584.45848369436	mx	mus
mus_AXR_MGOSW	3.89650514691696	3589.27910205915	md	mus
mus_AXR_MHOSW	3.89650514691696	3448.04942221002	mx	mus
mus_AXR_MIOSW	5.7976001862437	3173.76073047804	md	mus
mus_AXR_MKOSW	5.7976001862437	3052.92234702154	mx	mus
mus_AXR_MLOSW	7.03507432038484	2612.36948384159	md	mus
mus_AXR_MMOSW	7.03507432038484	2897.32600155185	mx	mus
mus_AXR_MNOSW	8.51136827528012	2362.25233632197	md	mus
mus_AXR_MPOSW	8.51136827528012	2721.77802459055	mx	mus
mus_AXR_MQOSW	10.1025733189432	2196.17500151114	md	mus
mus_AXR_MROSW	10.1025733189432	2285.69813172936	mx	mus
mus_BGF_MAOSW	0.00902977873574668	3161.3697199989	md	mus
mus_BGF_MBOSW	0.00902977873574668	2892.70020756568	mx	mus
mus_BGF_MCOSW	1.02164634028055	4174.97620486807	md	mus
mus_BGF_MDOSW	1.02164634028055	3484.24431873123	mx	mus
mus_BGF_MEOSW	2.67320167854497	3502.14747818278	md	mus
mus_BGF_MFOSW	2.67320167854497	3721.88550671579	mx	mus
mus_BGF_MGOSW	3.92146195736321	3435.38911009016	md	mus
mus_BGF_MHOSW	3.92146195736321	3692.3879518955	mx	mus
mus_BGF_MIOSW	5.41226550627314	3148.35897973574	md	mus
mus_BGF_MKOSW	5.41226550627314	2947.82728421956	mx	mus
mus_BGF_MLOSW	7.58673153417019	2081.01252597191	md	mus
mus_BGF_MMOSW	7.58673153417019	2308.43276768376	mx	mus
mus_BGF_MNOSW	9.24322191430956	2269.59644624511	md	mus
mus_BGF_MPOSW	9.24322191430956	2531.59729607211	mx	mus
mus_BGF_MQOSW	9.89742668105678	2012.00966799845	md	mus
mus_BGF_MROSW	9.89742668105678	2227.27087997276	mx	mus
