times	value	jaw	species
ham_BCR_AOSW	0	1605.40025109704	md	ham
ham_BCR_BOSW	0	2174.6182332946	mx	ham
ham_BCR_COSW	1.46389986334491	1549.22732337694	md	ham
ham_BCR_DOSW	1.46389986334491	1968.72783105778	mx	ham
ham_BCR_EOSW	2.81765488627557	2369.8096868599	md	ham
ham_BCR_FOSW	2.81765488627557	2161.76691897318	mx	ham
ham_BCR_GOSW	5.02848465495537	2074.54461360397	md	ham
ham_BCR_HOSW	5.02848465495537	2354.0798106036	mx	ham
ham_BCR_IOSW	5.93317273991783	2378.97146034767	md	ham
ham_BCR_KOSW	5.93317273991783	2831.80959634158	mx	ham
ham_BCR_LOSW	6.52211285128225	2257.38337647208	md	ham
ham_BCR_MOSW	6.52211285128225	2586.03206929785	mx	ham
ham_BCR_NOSW	7.67984517227558	2597.37062814312	md	ham
ham_BCR_POSW	7.67984517227558	3183.51286482775	mx	ham
ham_BCR_QOSW	10.1783386647182	2514.84304836563	md	ham
ham_BCR_ROSW	10.1783386647182	3295.70981217721	mx	ham
ham_BGE_AOSW	-0.894083420156937	1598.94464369242	md	ham
ham_BGE_BOSW	-0.894083420156937	2080.87557326569	mx	ham
ham_BGE_COSW	0.698484058119665	1463.63162831457	md	ham
ham_BGE_DOSW	0.698484058119665	1895.06684058265	mx	ham
ham_BGE_EOSW	3.01729896724116	1850.85891601277	md	ham
ham_BGE_FOSW	3.01729896724116	1877.90284500856	mx	ham
ham_BGE_GOSW	5.12692785593064	1804.07409309119	md	ham
ham_BGE_HOSW	5.12692785593064	2255.12327122311	mx	ham
ham_BGE_IOSW	6.30073677514707	2654.3341208447	md	ham
ham_BGE_KOSW	6.30073677514707	3170.93252968412	mx	ham
ham_BGE_NOSW	6.41247493097134	2811.67856052274	md	ham
ham_BGE_POSW	6.41247493097134	2928.74969262202	mx	ham
ham_BGE_QOSW	9.82166133528177	2225.66749959273	md	ham
ham_BGE_ROSW	9.82166133528177	3141.81628331691	mx	ham
mus_AXR_MAOSW	-0.00902977873575201	4017.3973493484	md	mus
mus_AXR_MBOSW	-0.00902977873575201	6016.69312515144	mx	mus
mus_AXR_MCOSW	1.24505572757754	4572.85988966731	md	mus
mus_AXR_MDOSW	1.24505572757754	5070.50989514409	mx	mus
mus_AXR_MEOSW	2.18118654585779	4415.32826391706	md	mus
mus_AXR_MFOSW	2.18118654585779	4758.53694548497	mx	mus
mus_AXR_MGOSW	3.89650514691696	5035.68935388252	md	mus
mus_AXR_MHOSW	3.89650514691696	4694.31932309032	mx	mus
mus_AXR_MIOSW	5.7976001862437	5094.56922594019	md	mus
mus_AXR_MKOSW	5.7976001862437	6864.63554708387	mx	mus
mus_AXR_MLOSW	7.03507432038484	5573.05489886205	md	mus
mus_AXR_MMOSW	7.03507432038484	6804.97102890923	mx	mus
mus_AXR_MNOSW	8.51136827528012	5661.53815703469	md	mus
mus_AXR_MPOSW	8.51136827528012	7731.9475120468	mx	mus
mus_AXR_MQOSW	10.1025733189432	2918.13188106635	md	mus
mus_AXR_MROSW	10.1025733189432	5222.64500712437	mx	mus
mus_BGF_MAOSW	0.00902977873574668	5362.12398336052	md	mus
mus_BGF_MBOSW	0.00902977873574668	6717.66098231659	mx	mus
mus_BGF_MCOSW	1.02164634028055	4245.94525589372	md	mus
mus_BGF_MDOSW	1.02164634028055	5143.14927847683	mx	mus
mus_BGF_MEOSW	2.67320167854497	4089.49441084948	md	mus
mus_BGF_MFOSW	2.67320167854497	4651.63052010302	mx	mus
mus_BGF_MGOSW	3.92146195736321	4515.08283040421	md	mus
mus_BGF_MHOSW	3.92146195736321	6087.2743144433	mx	mus
mus_BGF_MIOSW	5.41226550627314	4040.49210371319	md	mus
mus_BGF_MKOSW	5.41226550627314	6088.82037538758	mx	mus
mus_BGF_MLOSW	7.58673153417019	4070.42437659106	md	mus
mus_BGF_MMOSW	7.58673153417019	5325.25482743537	mx	mus
mus_BGF_MNOSW	9.24322191430956	4059.58863594769	md	mus
mus_BGF_MPOSW	9.24322191430956	6850.40022052816	mx	mus
mus_BGF_MQOSW	9.89742668105678	2439.19295234768	md	mus
mus_BGF_MROSW	9.89742668105678	5229.04157517096	mx	mus
