times	value	tissue	species
2	835.96548732292	fore-limb	bat
2	818.041972990069	fore-limb	bat
3	139.689825875488	fore-limb	bat
3	157.060978471149	fore-limb	bat
1	1462.6979631098	fore-limb	bat
2	1057.57024883229	fore-limb	bat
1	2355.33310755517	hind-limb	bat
2	1453.44409957208	hind-limb	bat
3	226.549753232337	hind-limb	bat
1	528.559250877666	hind-limb	bat
1	1451.7017930835	hind-limb	bat
3	409.206346729562	hind-limb	bat
1	875.535041848193	fore-limb	bat
1	1522.52964232054	fore-limb	bat
2	1151.71766658537	hind-limb	bat
2	833.095901541736	hind-limb	bat
2	486.749158157045	fore-limb	mus
2	1338.97275190291	fore-limb	mus
3	274.937270230806	fore-limb	mus
3	279.078079023841	fore-limb	mus
3	137.105091854146	fore-limb	mus
1	430.228222979959	fore-limb	mus
2	207.315367497588	hind-limb	mus
2	1011.81591033297	hind-limb	mus
3	430.593211959897	hind-limb	mus
3	335.978487391447	hind-limb	mus
3	766.881367755555	hind-limb	mus
1	435.277919158663	hind-limb	mus
1	528.841590319782	hind-limb	mus
2	179.187263956922	hind-limb	mus
3	190.198959588622	hind-limb	mus
1	536.057094391571	fore-limb	mus
1	620.201673480692	fore-limb	mus
