times	variable	value	tissue	species	type
1	pred.bat.fore.limb	1349.02242522236	fore-limb	bat	4 curves
1.02020202020202	pred.bat.fore.limb	1356.91597030266	fore-limb	bat	4 curves
1.04040404040404	pred.bat.fore.limb	1364.07231056731	fore-limb	bat	4 curves
1.06060606060606	pred.bat.fore.limb	1370.47932124003	fore-limb	bat	4 curves
1.08080808080808	pred.bat.fore.limb	1376.12611054555	fore-limb	bat	4 curves
1.1010101010101	pred.bat.fore.limb	1381.00305056136	fore-limb	bat	4 curves
1.12121212121212	pred.bat.fore.limb	1385.10180457122	fore-limb	bat	4 curves
1.14141414141414	pred.bat.fore.limb	1388.41535081162	fore-limb	bat	4 curves
1.16161616161616	pred.bat.fore.limb	1390.93800251665	fore-limb	bat	4 curves
1.18181818181818	pred.bat.fore.limb	1392.66542418099	fore-limb	bat	4 curves
1.2020202020202	pred.bat.fore.limb	1393.59464397612	fore-limb	bat	4 curves
1.22222222222222	pred.bat.fore.limb	1393.72406226979	fore-limb	bat	4 curves
1.24242424242424	pred.bat.fore.limb	1393.05345621471	fore-limb	bat	4 curves
1.26262626262626	pred.bat.fore.limb	1391.58398038797	fore-limb	bat	4 curves
1.28282828282828	pred.bat.fore.limb	1389.31816347863	fore-limb	bat	4 curves
1.3030303030303	pred.bat.fore.limb	1386.25990103679	fore-limb	bat	4 curves
1.32323232323232	pred.bat.fore.limb	1382.41444431323	fore-limb	bat	4 curves
1.34343434343434	pred.bat.fore.limb	1377.78838523435	fore-limb	bat	4 curves
1.36363636363636	pred.bat.fore.limb	1372.38963757272	fore-limb	bat	4 curves
1.38383838383838	pred.bat.fore.limb	1366.22741438828	fore-limb	bat	4 curves
1.4040404040404	pred.bat.fore.limb	1359.31220183044	fore-limb	bat	4 curves
1.42424242424242	pred.bat.fore.limb	1351.65572940522	fore-limb	bat	4 curves
1.44444444444444	pred.bat.fore.limb	1343.27093682543	fore-limb	bat	4 curves
1.46464646464646	pred.bat.fore.limb	1334.1719375751	fore-limb	bat	4 curves
1.48484848484848	pred.bat.fore.limb	1324.37397933167	fore-limb	bat	4 curves
1.50505050505051	pred.bat.fore.limb	1313.89340140123	fore-limb	bat	4 curves
1.52525252525253	pred.bat.fore.limb	1302.74758933317	fore-limb	bat	4 curves
1.54545454545455	pred.bat.fore.limb	1290.9549268906	fore-limb	bat	4 curves
1.56565656565657	pred.bat.fore.limb	1278.53474556209	fore-limb	bat	4 curves
1.58585858585859	pred.bat.fore.limb	1265.5072718087	fore-limb	bat	4 curves
1.60606060606061	pred.bat.fore.limb	1251.89357224761	fore-limb	bat	4 curves
1.62626262626263	pred.bat.fore.limb	1237.71549697998	fore-limb	bat	4 curves
1.64646464646465	pred.bat.fore.limb	1222.99562127603	fore-limb	bat	4 curves
1.66666666666667	pred.bat.fore.limb	1207.75718583472	fore-limb	bat	4 curves
1.68686868686869	pred.bat.fore.limb	1192.02403583866	fore-limb	bat	4 curves
1.70707070707071	pred.bat.fore.limb	1175.82055902712	fore-limb	bat	4 curves
1.72727272727273	pred.bat.fore.limb	1159.1716230113	fore-limb	bat	4 curves
1.74747474747475	pred.bat.fore.limb	1142.10251205598	fore-limb	bat	4 curves
