times	value	tissue	species
2	3202.18615041017	fore-limb	bat
2	2819.76589174607	fore-limb	bat
3	759.281795484507	fore-limb	bat
3	1120.54429178156	fore-limb	bat
1	2104.85804447509	fore-limb	bat
2	2712.66768825482	fore-limb	bat
1	862.883518097133	hind-limb	bat
2	2139.41538021124	hind-limb	bat
3	971.476060470868	hind-limb	bat
1	856.822364580637	hind-limb	bat
1	1181.06173547966	hind-limb	bat
3	1093.35732870823	hind-limb	bat
1	2594.5928753856	fore-limb	bat
1	2153.17744679752	fore-limb	bat
2	3139.47877850787	hind-limb	bat
2	1661.72480093043	hind-limb	bat
2	881.539191971717	fore-limb	mus
2	1256.72626837079	fore-limb	mus
3	2026.23580664439	fore-limb	mus
3	1842.11791907388	fore-limb	mus
3	789.452094733127	fore-limb	mus
1	1080.23247317878	fore-limb	mus
2	2221.65617226139	hind-limb	mus
2	2109.52347831613	hind-limb	mus
3	2229.23705474305	hind-limb	mus
3	1682.80134160997	hind-limb	mus
3	1607.81344959333	hind-limb	mus
1	2941.33378479097	hind-limb	mus
1	1876.90368078552	hind-limb	mus
2	1481.61321031048	hind-limb	mus
3	1859.72316042208	hind-limb	mus
1	2027.65853468174	fore-limb	mus
1	1417.84524264387	fore-limb	mus
