times	value	tissue	species
2	738.905824000783	fore-limb	bat
2	685.833169274502	fore-limb	bat
3	2.25306170766916	fore-limb	bat
3	6.59920077609869	fore-limb	bat
1	108.686008603168	fore-limb	bat
2	413.113378450113	fore-limb	bat
1	16.9448425003969	hind-limb	bat
2	44.9956409330141	hind-limb	bat
3	1.27994210865727	hind-limb	bat
1	407.547001334621	hind-limb	bat
1	6.69427704320454	hind-limb	bat
3	8.75619857481231	hind-limb	bat
1	139.253288191577	fore-limb	bat
1	107.378406353133	fore-limb	bat
2	437.751361496581	hind-limb	bat
2	156.345075356358	hind-limb	bat
2	175.990737965577	fore-limb	mus
2	202.326349489014	fore-limb	mus
3	247.962292774198	fore-limb	mus
3	247.168970169935	fore-limb	mus
3	22.9321683884159	fore-limb	mus
1	59.9389165142357	fore-limb	mus
2	314.648855634637	hind-limb	mus
2	355.140683759256	hind-limb	mus
3	335.978560004583	hind-limb	mus
3	143.99078031062	hind-limb	mus
3	370.253570411081	hind-limb	mus
1	223.067595759315	hind-limb	mus
1	87.113672947851	hind-limb	mus
2	142.686154632364	hind-limb	mus
3	165.10326353179	hind-limb	mus
1	159.257390983101	fore-limb	mus
1	168.992281602368	fore-limb	mus
