times	variable	value	tissue	species	type
1	pred.bat.fore.limb	109.142741696687	fore-limb	bat	Simple
1.02020202020202	pred.bat.fore.limb	113.769968138976	fore-limb	bat	Simple
1.04040404040404	pred.bat.fore.limb	118.486740538155	fore-limb	bat	Simple
1.06060606060606	pred.bat.fore.limb	123.288113594941	fore-limb	bat	Simple
1.08080808080808	pred.bat.fore.limb	128.168706518857	fore-limb	bat	Simple
1.1010101010101	pred.bat.fore.limb	133.122705123443	fore-limb	bat	Simple
1.12121212121212	pred.bat.fore.limb	138.143865991748	fore-limb	bat	Simple
1.14141414141414	pred.bat.fore.limb	143.225522771118	fore-limb	bat	Simple
1.16161616161616	pred.bat.fore.limb	148.360594644971	fore-limb	bat	Simple
1.18181818181818	pred.bat.fore.limb	153.541597017077	fore-limb	bat	Simple
1.2020202020202	pred.bat.fore.limb	158.760654431041	fore-limb	bat	Simple
1.22222222222222	pred.bat.fore.limb	164.00951573419	fore-limb	bat	Simple
1.24242424242424	pred.bat.fore.limb	169.279571481022	fore-limb	bat	Simple
1.26262626262626	pred.bat.fore.limb	174.561873556891	fore-limb	bat	Simple
1.28282828282828	pred.bat.fore.limb	179.847156987737	fore-limb	bat	Simple
1.3030303030303	pred.bat.fore.limb	185.125863886612	fore-limb	bat	Simple
1.32323232323232	pred.bat.fore.limb	190.388169472517	fore-limb	bat	Simple
1.34343434343434	pred.bat.fore.limb	195.624010081874	fore-limb	bat	Simple
1.36363636363636	pred.bat.fore.limb	200.823113077833	fore-limb	bat	Simple
1.38383838383838	pred.bat.fore.limb	205.975028547807	fore-limb	bat	Simple
1.4040404040404	pred.bat.fore.limb	211.069162665128	fore-limb	bat	Simple
1.42424242424242	pred.bat.fore.limb	216.094812576774	fore-limb	bat	Simple
1.44444444444444	pred.bat.fore.limb	221.041202665785	fore-limb	bat	Simple
1.46464646464646	pred.bat.fore.limb	225.897522024418	fore-limb	bat	Simple
1.48484848484848	pred.bat.fore.limb	230.652962962412	fore-limb	bat	Simple
1.50505050505051	pred.bat.fore.limb	235.29676036404	fore-limb	bat	Simple
1.52525252525253	pred.bat.fore.limb	239.818231698062	fore-limb	bat	Simple
1.54545454545455	pred.bat.fore.limb	244.206817476319	fore-limb	bat	Simple
1.56565656565657	pred.bat.fore.limb	248.452121949666	fore-limb	bat	Simple
1.58585858585859	pred.bat.fore.limb	252.543953824261	fore-limb	bat	Simple
1.60606060606061	pred.bat.fore.limb	256.472366777056	fore-limb	bat	Simple
1.62626262626263	pred.bat.fore.limb	260.22769954664	fore-limb	bat	Simple
1.64646464646465	pred.bat.fore.limb	263.800615374503	fore-limb	bat	Simple
1.66666666666667	pred.bat.fore.limb	267.18214057232	fore-limb	bat	Simple
1.68686868686869	pred.bat.fore.limb	270.363701992975	fore-limb	bat	Simple
1.70707070707071	pred.bat.fore.limb	273.337163186872	fore-limb	bat	Simple
1.72727272727273	pred.bat.fore.limb	276.094859030482	fore-limb	bat	Simple
1.74747474747475	pred.bat.fore.limb	278.629628621116	fore-limb	bat	Simple
1.76767676767677	pred.bat.fore.limb	280.93484624053	fore-limb	bat	Simple
1.78787878787879	pred.bat.fore.limb	283.004450200098	fore-limb	bat	Simple
1.80808080808081	pred.bat.fore.limb	284.832969391851	fore-limb	bat	Simple
