,Regulator,Target,Perturbation,Effect,Stage,Tissue.Reg,Tissue.Target,Additional Perturbation,Year,Reference
EPI EPI negative target,Gsk3b,Acvr1b,-,-,E13,Epi,Epi,,2011,This study
EPI EPI negative target,Gsk3b,Acvr2b,-,-,E13,Epi,Epi,,2011,This study
MES MES positive target,Gsk3b,Acvr2b,-,+,E10,Mes,Mes,,2011,This study
EPI EPI positive target,Ctnnb1,Amelx,+,+,E16,Epi,Epi,,2009,"Wang XP, O'Connell DJ, Lund JJ, Saadi I, Kuraguchi M, Turbe-Doan A, Cavallesco R, Kim H, Park PJ, Harada H, Kucherlapati R, Maas RL. Apc inhibition of Wnt signaling regulates supernumerary tooth formation during embryogenesis and throughout adulthood. Development 2009 vol. 136 (11) pp. 1939-49"
MES MES negative target,Gsk3b,Atf2,-,-,E10,Mes,Mes,,2011,This study
MES MES positive target,Gsk3b,Axin2,-,+,E10,Mes,Mes,,2011,This study
MES MES positive target,Ctnnb1,Axin2,-,-,E11,Mes,Mes,,2010,"Fujimori S, Novak H, Weissenböck M, Jussila M, Gonçalves A, Zeller R, Galloway J, Thesleff I, Hartmann C. Wnt/?-catenin signaling in the dental mesenchyme regulates incisor development by regulating Bmp4. Developmental biology 2010 vol. 348 (1) pp. 97-106"
MES MES negative target,Gsk3b,Barx1,-,-,E10,Mes,Mes,,2011,This study
EPI EPI negative target,Gsk3b,Bcl11b,-,-,E13,Epi,Epi,,2011,This study
EPI MES positive target,Ctnnb1,Bmp4,+,+,E14,Epi,Mes,,2009,"Wang XP, O'Connell DJ, Lund JJ, Saadi I, Kuraguchi M, Turbe-Doan A, Cavallesco R, Kim H, Park PJ, Harada H, Kucherlapati R, Maas RL. Apc inhibition of Wnt signaling regulates supernumerary tooth formation during embryogenesis and throughout adulthood. Development 2009 vol. 136 (11) pp. 1939-49"
MES EPI positive target,Ctnnb1,Bmp4,-,-,E14,Mes,Epi,,2009,"Chen J, Lan Y, Baek JA, Gao Y, Jiang R. Wnt/beta-catenin signaling plays an essential role in activation of odontogenic mesenchyme during early tooth development. Developmental biology 2009 vol. 334 (1) pp. 174-85"
MES MES positive target,Ctnnb1,Bmp4,-,-,E11,Mes,Mes,,2010,"Fujimori S, Novak H, Weissenböck M, Jussila M, Gonçalves A, Zeller R, Galloway J, Thesleff I, Hartmann C. Wnt/?-catenin signaling in the dental mesenchyme regulates incisor development by regulating Bmp4. Developmental biology 2010 vol. 348 (1) pp. 97-106"
EPI MES positive target,Ctnnb1,Bmp4,-,-,E13,Epi,Mes,,2008,"Liu F, Chu EY, Watt B, Zhang Y, Gallant NM, Andl T, Yang SH, Lu MM, Piccolo S, Schmidt-Ullrich R, Taketo MM, Morrisey EE, Atit R, Dlugosz AA, Millar SE. Wnt/beta-catenin signaling directs multiple stages of tooth morphogenesis. Developmental biology 2008 vol. 313 (1) pp. 210-24"
MES MES negative target,Gsk3b,Bmper,-,-,E10,Mes,Mes,,2011,This study
MES MES negative target,Gsk3b,Bmpr1b,-,-,E10,Mes,Mes,,2011,This study
EPI EPI negative target,Gsk3b,Btrc,-,-,E13,Epi,Epi,,2011,This study
MES MES positive target,Gsk3b,Ccnd1,-,+,E10,Mes,Mes,,2011,This study
