"machoire" "stade" "espece" "rep" "file"
"mus_AXR_MAOSW" "md" "14.5" "mus" "rep1" "quant_mus_genom_crop/AXR_MAOSW_1_1_D0YGFACXX.IND22_clean.fastq.qt"
"mus_AXR_MBOSW" "mx" "14.5" "mus" "rep1" "quant_mus_genom_crop/AXR_MBOSW_1_1_D0YGFACXX.IND23_clean.fastq.qt"
"mus_AXR_MCOSW" "md" "15" "mus" "rep1" "quant_mus_genom_crop/AXR_MCOSW_1_1_D0YGFACXX.IND10_clean.fastq.qt"
"mus_AXR_MDOSW" "mx" "15" "mus" "rep1" "quant_mus_genom_crop/AXR_MDOSW_1_1_D0YGFACXX.IND11_clean.fastq.qt"
"mus_AXR_MEOSW" "md" "15.5" "mus" "rep1" "quant_mus_genom_crop/AXR_MEOSW_2_1_D0YGFACXX.IND1_clean.fastq.qt"
"mus_AXR_MFOSW" "mx" "15.5" "mus" "rep1" "quant_mus_genom_crop/AXR_MFOSW_2_1_D0YGFACXX.IND3_clean.fastq.qt"
"mus_AXR_MGOSW" "md" "16" "mus" "rep1" "quant_mus_genom_crop/AXR_MGOSW_2_1_D0YGFACXX.IND8_clean.fastq.qt"
"mus_AXR_MHOSW" "mx" "16" "mus" "rep1" "quant_mus_genom_crop/AXR_MHOSW_2_1_D0YGFACXX.IND9_clean.fastq.qt"
"mus_AXR_MIOSW" "md" "16.5" "mus" "rep1" "quant_mus_genom_crop/AXR_MIOSW_2_1_D11UHACXX.IND20_clean.fastq.qt"
"mus_AXR_MKOSW" "mx" "16.5" "mus" "rep1" "quant_mus_genom_crop/AXR_MKOSW_2_1_D11UHACXX.IND21_clean.fastq.qt"
"mus_AXR_MLOSW" "md" "17" "mus" "rep1" "quant_mus_genom_crop/AXR_MLOSW_2_1_D11UHACXX.IND10_clean.fastq.qt"
"mus_AXR_MMOSW" "mx" "17" "mus" "rep1" "quant_mus_genom_crop/AXR_MMOSW_2_1_D11UHACXX.IND11_clean.fastq.qt"
"mus_AXR_MNOSW" "md" "17.5" "mus" "rep1" "quant_mus_genom_crop/AXR_MNOSW_3_1_D11UHACXX.IND1_clean.fastq.qt"
"mus_AXR_MPOSW" "mx" "17.5" "mus" "rep1" "quant_mus_genom_crop/AXR_MPOSW_3_1_D11UHACXX.IND3_clean.fastq.qt"
"mus_AXR_MQOSW" "md" "18" "mus" "rep1" "quant_mus_genom_crop/AXR_MQOSW_3_1_D11UHACXX.IND22_clean.fastq.qt"
"mus_AXR_MROSW" "mx" "18" "mus" "rep1" "quant_mus_genom_crop/AXR_MROSW_3_1_D11UHACXX.IND23_clean.fastq.qt"
"mus_BGF_MAOSW" "md" "14.5" "mus" "rep2" "quant_mus_genom_crop/BGF_MAOSW_5_1_C3F32ACXX.IND5_noribo_clean.fastq.qt"
"mus_BGF_MBOSW" "mx" "14.5" "mus" "rep2" "quant_mus_genom_crop/BGF_MBOSW_5_1_C3F32ACXX.IND6_noribo_clean.fastq.qt"
"mus_BGF_MCOSW" "md" "15" "mus" "rep2" "quant_mus_genom_crop/BGF_MCOSW_5_1_C3F32ACXX.IND12_noribo_clean.fastq.qt"
"mus_BGF_MDOSW" "mx" "15" "mus" "rep2" "quant_mus_genom_crop/BGF_MDOSW_5_1_C3F32ACXX.IND19_noribo_clean.fastq.qt"
"mus_BGF_MEOSW" "md" "15.5" "mus" "rep2" "quant_mus_genom_crop/BGF_MEOSW_6_1_C3F32ACXX.IND2_noribo_clean.fastq.qt"
"mus_BGF_MFOSW" "mx" "15.5" "mus" "rep2" "quant_mus_genom_crop/BGF_MFOSW_6_1_C3F32ACXX.IND4_noribo_clean.fastq.qt"
"mus_BGF_MGOSW" "md" "16" "mus" "rep2" "quant_mus_genom_crop/BGF_MGOSW_6_1_C3F32ACXX.IND7_noribo_clean.fastq.qt"
"mus_BGF_MHOSW" "mx" "16" "mus" "rep2" "quant_mus_genom_crop/BGF_MHOSW_6_1_C3F32ACXX.IND16_noribo_clean.fastq.qt"
"mus_BGF_MIOSW" "md" "16.5" "mus" "rep2" "quant_mus_genom_crop/BGF_MIOSW_7_1_C3F32ACXX.IND5_noribo_clean.fastq.qt"
"mus_BGF_MKOSW" "mx" "16.5" "mus" "rep2" "quant_mus_genom_crop/BGF_MKOSW_7_1_C3F32ACXX.IND6_noribo_clean.fastq.qt"
"mus_BGF_MLOSW" "md" "17" "mus" "rep2" "quant_mus_genom_crop/BGF_MLOSW_7_1_C3F32ACXX.IND12_noribo_clean.fastq.qt"
"mus_BGF_MMOSW" "mx" "17" "mus" "rep2" "quant_mus_genom_crop/BGF_MMOSW_7_1_C3F32ACXX.IND19_noribo_clean.fastq.qt"
"mus_BGF_MNOSW" "md" "17.5" "mus" "rep2" "quant_mus_genom_crop/BGF_MNOSW_8_1_C3F32ACXX.IND2_noribo_clean.fastq.qt"
"mus_BGF_MPOSW" "mx" "17.5" "mus" "rep2" "quant_mus_genom_crop/BGF_MPOSW_8_1_C3F32ACXX.IND4_noribo_clean.fastq.qt"
"mus_BGF_MQOSW" "md" "18" "mus" "rep2" "quant_mus_genom_crop/BGF_MQOSW_8_1_C3F32ACXX.IND7_noribo_clean.fastq.qt"
"mus_BGF_MROSW" "mx" "18" "mus" "rep2" "quant_mus_genom_crop/BGF_MROSW_8_1_C3F32ACXX.IND16_noribo_clean.fastq.qt"
"mus_15.0_low_epi_rep1" "md_epi" "15.0" "mus" "rep1" "quant_mus_genom_crop/epimes_quantifs/mus_15.0_low_epi_rep1.fastq.qt"
"mus_15.0_low_epi_rep2" "md_epi" "15.0" "mus" "rep2" "quant_mus_genom_crop/epimes_quantifs/mus_15.0_low_epi_rep2.fastq.qt"
"mus_15.0_low_mes_rep1" "md_mes" "15.0" "mus" "rep1" "quant_mus_genom_crop/epimes_quantifs/mus_15.0_low_mes_rep1.fastq.qt"
"mus_15.0_low_mes_rep2" "md_mes" "15.0" "mus" "rep2" "quant_mus_genom_crop/epimes_quantifs/mus_15.0_low_mes_rep2.fastq.qt"
"mus_15.0_up_epi_rep1" "mx_epi" "15.0" "mus" "rep1" "quant_mus_genom_crop/epimes_quantifs/mus_15.0_up_epi_rep1.fastq.qt"
"mus_15.0_up_epi_rep2" "mx_epi" "15.0" "mus" "rep2" "quant_mus_genom_crop/epimes_quantifs/mus_15.0_up_epi_rep2.fastq.qt"
"mus_15.0_up_mes_rep1" "mx_mes" "15.0" "mus" "rep1" "quant_mus_genom_crop/epimes_quantifs/mus_15.0_up_mes_rep1.fastq.qt"
"mus_15.0_up_mes_rep2" "mx_mes" "15.0" "mus" "rep2" "quant_mus_genom_crop/epimes_quantifs/mus_15.0_up_mes_rep2.fastq.qt"
"mus_16.5_low_epi_rep1" "md_mes" "16.5" "mus" "rep1" "quant_mus_genom_crop/epimes_quantifs/mus_16.5_low_epi_rep1.fastq.qt"
"mus_16.5_low_epi_rep2" "mx_mes" "16.5" "mus" "rep2" "quant_mus_genom_crop/epimes_quantifs/mus_16.5_low_epi_rep2.fastq.qt"
"mus_16.5_low_mes_rep1" "md_epi" "16.5" "mus" "rep1" "quant_mus_genom_crop/epimes_quantifs/mus_16.5_low_mes_rep1.fastq.qt"
"mus_16.5_low_mes_rep2" "mx_epi" "16.5" "mus" "rep2" "quant_mus_genom_crop/epimes_quantifs/mus_16.5_low_mes_rep2.fastq.qt"
