"date_litter","stage","weight","species","confidence"
"19/10/2009","12.5",109,"mus","yes"
"19/10/2009","12.5",110,"mus","yes"
"19/10/2009","12.5",109,"mus","yes"
"19/10/2009","12.5",110,"mus","yes"
"19/10/2009","12.5",107,"mus","yes"
"19/10/2009","12.5",100,"mus","yes"
"19/10/2009","12.5",100,"mus","yes"
"19/10/2009","12.5",105,"mus","yes"
"19/10/2009","12.5",106,"mus","yes"
"19/10/2009","12.5",86,"mus","yes"
"19/10/2009","12.5",119,"mus","yes"
"19/10/2009","12.5",93,"mus","yes"
"19/10/2009","12.5",90,"mus","yes"
"19/10/2009","12.5",92,"mus","yes"
"19/10/2009","12.5",71,"mus","yes"
"10/02/2009","12.5",104,"mus","yes"
"10/02/2009","12.5",108,"mus","yes"
"10/02/2009","12.5",101,"mus","yes"
"10/02/2009","12.5",108,"mus","yes"
"10/02/2009","12.5",104,"mus","yes"
"10/02/2009","12.5",101,"mus","yes"
"10/02/2009","12.5",105,"mus","yes"
"10/02/2009","12.5",94,"mus","yes"
"10/02/2009","12.5",95,"mus","yes"
"10/02/2009","12.5",97,"mus","yes"
"10/02/2009","12.5",92,"mus","yes"
"10/02/2009","12.5",92,"mus","yes"
"10/02/2009","12.5",89,"mus","yes"
"02/04/2008","12.5",113,"mus","yes"
"02/04/2008","12.5",116,"mus","yes"
"02/04/2008","12.5",112,"mus","yes"
"02/04/2008","12.5",114,"mus","yes"
"02/04/2008","12.5",110,"mus","yes"
"02/04/2008","12.5",109,"mus","yes"
"02/04/2008","12.5",122,"mus","yes"
"02/04/2008","12.5",126,"mus","yes"
"02/04/2008","12.5",89,"mus","yes"
"02/04/2008","12.5",86,"mus","yes"
"11/03/2008","12.5",88,"mus","yes"
"11/03/2008","12.5",80,"mus","yes"
"11/03/2008","12.5",85,"mus","yes"
"11/03/2008","12.5",80,"mus","yes"
"11/03/2008","12.5",110,"mus","yes"
"11/03/2008","12.5",103,"mus","yes"
"11/03/2008","12.5",104,"mus","yes"
"11/03/2008","12.5",103,"mus","yes"
"11/03/2008","12.5",98,"mus","yes"
"11/03/2008","12.5",97,"mus","yes"
"11/03/2008","12.5",97,"mus","yes"
"11/03/2008","12.5",98,"mus","yes"
"22/12/2009",13,120,"mus","yes"
"22/12/2009",13,126,"mus","yes"
"22/12/2009",13,126,"mus","yes"
"22/12/2009",13,125,"mus","yes"
"22/12/2009",13,123,"mus","yes"
"22/12/2009",13,108,"mus","yes"
"22/12/2009",13,108,"mus","yes"
"22/12/2009",13,130,"mus","yes"
"22/12/2009",13,131,"mus","yes"
"22/12/2009",13,115,"mus","yes"
"22/12/2009",13,115,"mus","yes"
"28/10/2009",13,128,"mus","yes"
"28/10/2009",13,128,"mus","yes"
"28/10/2009",13,128,"mus","yes"
"28/10/2009",13,127,"mus","yes"
"28/10/2009",13,129,"mus","yes"
"28/10/2009",13,102,"mus","yes"
"28/10/2009",13,135,"mus","yes"
"28/10/2009",13,139,"mus","yes"
"28/10/2009",13,131,"mus","yes"
"28/10/2009",13,135,"mus","yes"
"28/10/2009",13,134,"mus","yes"
"28/10/2009",13,143,"mus","yes"
"28/10/2009",13,144,"mus","yes"
"28/10/2009",13,92,"mus","yes"
"20/10/2009",13,130,"mus","yes"
"20/10/2009",13,132,"mus","yes"
"20/10/2009",13,123,"mus","yes"
"20/10/2009",13,126,"mus","yes"
"20/10/2009",13,125,"mus","yes"
"20/10/2009",13,122,"mus","yes"
"20/10/2009",13,121,"mus","yes"
"20/10/2009",13,110,"mus","yes"
"20/10/2009",13,110,"mus","yes"
"20/10/2009",13,113,"mus","yes"
"20/10/2009",13,117,"mus","yes"
"20/10/2009",13,115,"mus","yes"
"30/09/2009",13,126,"mus","yes"
"30/09/2009",13,123,"mus","yes"
"30/09/2009",13,122,"mus","yes"
